row_label_raw,row_label_full,Năm nay > Số đầu năm,Năm nay > (130.413.796.662),numeric__Năm nay > (130.413.796.662)
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,16.052.368.726,16052368726.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,11.183.798.757,11183798757.0
Số cuối năm,Số cuối năm,Số cuối năm,(103.177.629.179),-103177629179.0
