row_label_raw,row_label_full,Thu nhập từ thanh lý công ty(Thuyết minh số 4.1 và 4.2),Năm nay > 41.760.855.429,VNDNăm trước > 12.041.992.233,numeric__Năm nay > 41.760.855.429,numeric__VNDNăm trước > 12.041.992.233
Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,9.778.241.137,3.457.901.000,9778241137.0,3457901000.0
Lãi tiền gửi và lãi cho vay,Lãi tiền gửi và lãi cho vay,Lãi tiền gửi và lãi cho vay,8.587.716.912,11.461.545.229,8587716912.0,11461545229.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,60.126.813.478,26.961.438.462,60126813478.0,26961438462.0
