row_label_raw,row_label_full,Ngân hàng/Tổ chức cho vay > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam > Ngân hàng TMCP Việt Nam Thịnh Vương,Số đầu năm VND > 6.382.412.398 > 881.145.000,Số cuối năm VND > 2.492.492.700 > 242.520.000,Thời hạn cho vay/ngày đáo hạn > Từ 2023 đến 2027 > 48 tháng,"Mục đích vay > Đầu tư dự án đầu tư, mua sắm máy móc thiết bị; đầu tư Nhà máy gia công kính > Đầu tư mua sắm Tài sản cố định hữu hình",Tài sản bảo đảm > Thế chấp bằng tài sản cố định hình thành từ nguồn vốn vay > Thế chấp bằng tài sản cố định hữu hình,numeric__Số đầu năm VND > 6.382.412.398 > 881.145.000,numeric__Số cuối năm VND > 2.492.492.700 > 242.520.000,numeric__Thời hạn cho vay/ngày đáo hạn > Từ 2023 đến 2027 > 48 tháng,"numeric__Mục đích vay > Đầu tư dự án đầu tư, mua sắm máy móc thiết bị; đầu tư Nhà máy gia công kính > Đầu tư mua sắm Tài sản cố định hữu hình",numeric__Tài sản bảo đảm > Thế chấp bằng tài sản cố định hình thành từ nguồn vốn vay > Thế chấp bằng tài sản cố định hữu hình
Ngân sách tỉnh Hải Dương,Ngân sách tỉnh Hải Dương,Ngân sách tỉnh Hải Dương,5.682.664.168,-,Không xác định thời hạn,Khoản vay cho mục đích phục vụ sản xuất kinh doanh,Tín chấp,5682664168.0,,,,
Ngân hàng Phát triển Việt Nam,Ngân hàng Phát triển Việt Nam,Ngân hàng Phát triển Việt Nam,6.819.513.259,-,2024,"Đầu tư các hạng mục xây dựng, thiết bị của dự án Đầu tư dây chuyên sản xuất kính tiết kiệm năng lượng công suất 2,3 triệu m2/năm",Thế chấp bằng tài sản cố định hữu hình và tài sản cố định vô hình,6819513259.0,,2024.0,,
Vay dài hạn cá nhân,Vay dài hạn cá nhân,Vay dài hạn cá nhân,55.969.678.866,57.422.878.094,Theo thỏa thuận,Bổ sung vốn lưu động,Tín chấp,55969678866.0,57422878094.0,,,
,,,2.509.163.256.876,2.728.125.798.425,,,,2509163256876.0,2728125798425.0,,,
