row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,"Thiết bị,dụng cụ quản lý",Tài sản khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,"numeric__Thiết bị,dụng cụ quản lý",numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,4.555.169.047.270,7.058.953.861.724,287.792.847.466,28.005.183.360,10.458.862.777,11.940.379.802.597,4555169047270.0,7058953861724.0,287792847466.0,28005183360.0,10458862777.0,11940379802597.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,95.800.000,23.821.369.845,2.943.786.818,2.576.833.046,-,29.437.789.709,95800000.0,23821369845.0,2943786818.0,2576833046.0,,29437789709.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,1.107.556.391.563,42.397.712.748,33.095.408.707,52.437.805.705,2.527.947.354,1.238.015.266.077,1107556391563.0,42397712748.0,33095408707.0,52437805705.0,2527947354.0,1238015266077.0
Tăng từ tài sản cố định thuê tài chính,NGUYÊN GIÁ > Tăng từ tài sản cố định thuê tài chính,Tăng từ tài sản cố định thuê tài chính,-,62.221.755.786,9.904.788.180,-,-,72.126.543.966,,62221755786.0,9904788180.0,,,72126543966.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,(278.700.000),130.000.000,148.700.000,-,-,,-278700000.0,130000000.0,148700000.0,,
"Phân loại lại sang công cụ, dụng cụ","NGUYÊN GIÁ > Phân loại lại sang công cụ, dụng cụ","Phân loại lại sang công cụ, dụng cụ",-,-,-,(342.721.800),(55.450.000),(398.171.800),,,,-342721800.0,-55450000.0,-398171800.0
Giảm do quyết toán,NGUYÊN GIÁ > Giảm do quyết toán,Giảm do quyết toán,(5.223.598.946),-,-,-,-,(5.223.598.946),-5223598946.0,,,,,-5223598946.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(768.483.096),(1.306.311.869),-,-,(2.074.794.965),,-768483096.0,-1306311869.0,,,-2074794965.0
Chênh lệch chuyển đổi báo cáo tài chính,NGUYÊN GIÁ > Chênh lệch chuyển đổi báo cáo tài chính,Chênh lệch chuyển đổi báo cáo tài chính,-,1.889.955.833,735.066.022,-,1.639.400,2.626.661.255,,1889955833.0,735066022.0,,1639400.0,2626661255.0
(Giảm) khác,NGUYÊN GIÁ > (Giảm) khác,(Giảm) khác,(78.661.054),-,(2.740.545.455),-,-,(2.819.206.509),-78661054.0,,-2740545455.0,,,-2819206509.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,5.657.518.978.833,7.188.237.472.840,330.555.039.869,82.825.800.311,12.932.999.531,13.272.070.291.384,5657518978833.0,7188237472840.0,330555039869.0,82825800311.0,12932999531.0,13272070291384.0
