row_label_raw,row_label_full,STT,Tên công ty,Nơi thành lậpTỷ lệ lợivà hoạt động,Tỷ lệquyềnbiểuquyết (%),Hoạt động chính,numeric__Tên công ty,numeric__Nơi thành lậpTỷ lệ lợivà hoạt động,numeric__Tỷ lệquyềnbiểuquyết (%),numeric__Hoạt động chính
15.,15.,15.,Công ty Cổ phần Gốm Xây dựng Hữu Hưng,Hà Nội,"51,00%","51,00% Sản xuất và kinh doanh gạch ngói đất sét nung",,,0.51,
16.,16.,16.,Công ty Cổ phần Tư vấn Viglacera,Hà Nội,"76,89%","76,89% Lập dự án, thiết kế các công trình",,,0.7689,
17.,17.,17.,Công ty TNHH CHAO - Viglacera (iii),Hà Nội,"100,00%","100,00% Dịch vụ, du lịch, nhà hàng",,,1.0,
18.,18.,18.,Công ty Cổ phần Viglacera Vân Hải,Quảng Ninh,"98,17%","98,17% Khai thác và kinh doanh cát, dịch vụ du lịch",,,0.9817,
19.,19.,19.,Công ty Cổ phần Phát triển Khu công nghiệp Viglacera Yên Mỹ,Hưng Yên,"60,00%","60,00% Đầu tư và kinh doanh hạ tầng khu công nghiệp",,,0.6,
20.,20.,20.,Công ty ViMariel - CTCP (ii),Cuba,"99,94%","99,95% Đầu tư và kinh doanh hạ tầng khu công nghiệp",,,0.9994,
21.,21.,21.,Công ty Cổ phần Viglacera Thái Nguyên,Thái Nguyên,"51,00%","51,00% Đầu tư và kinh doanh hạ tầng khu công nghiệp",,,0.51,
,,,Công ty con gián tiếp (i),Công ty con gián tiếp (i),Công ty con gián tiếp (i),Công ty con gián tiếp (i),,,,
1.,1.,1.,Công ty TNHH MTV Thương mại Viglacera Hạ Long,Quảng Ninh,"50,48%","100,00% Kinh doanh vật liệu xây dựng",,,0.5047999999999999,
2.,2.,2.,Công ty Cổ phần Gạch Clinker Viglacera,Quảng Ninh,"50,44%","99,92% Sản xuất và kinh doanh vật liệu xây dựng",,,0.5044,
3.,3.,3.,Công ty Cổ phần Kinh doanh Gạch Ốp lát Viglacera,Hà Nội,"51,02%","100,00% Kinh doanh các sản phẩm gạch ốp lát",,,0.5102,
4.,4.,4.,Công ty TNHH MTV Lắp dụng kính Viglacera,Bắc Ninh,"86,41%","100,00% Sản xuất, kinh doanh kính và các vật liệu thủy tinh",,,0.8641,
5.,5.,5.,Công ty Cổ phần Viglacera Can Lộc (iv),Hà Tĩnh,"57,51%","100,00% Sản xuất vật liệu xây dựng",,,0.5751,
6.,6.,6.,Công ty TNHH Thi công Hạ tầng Viglacera Yên Mỹ,Hưng Yên,"60,00%","100,00% Đầu tư xây dựng",,,0.6,
,,,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,
1.,1.,1.,Công ty TNHH Kính nổi Việt Nam (VFG),Bắc Ninh,"35,294%","35,294% Sản xuất và kinh doanh kính",,,0.35294,
2.,2.,2.,Công ty SanVig - CTCP (ii),Cuba,"21,43%","50,00% Sản xuất và kinh doanh sứ vệ sinh, gạch ốp lát",,,0.2143,
,,,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,,,,
1.,1.,1.,Công ty Cổ phần Gạch ngói Từ Sơn,Bắc Ninh,"24,93%","24,93% Sản xuất và kinh doanh gạch ngói đất sét nung",,,0.2493,
2.,2.,2.,Công ty Cổ phần Gốm xây dựng Yên Hưng,Quảng Ninh,"26,00%","26,00% Sản xuất và kinh doanh gạch ngói đất sét nung",,,0.26,
3.,3.,3.,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Hà Nội,"25,00%","25,00% Kinh doanh xuất nhập khẩu",,,0.25,
4.,4.,4.,Công ty Cổ phần Gạch chịu lửa Cầu Dương,Hà Nội,"25,00%","25,00% Sản xuất và kinh doanh gạch chịu lửa",,,0.25,
,,,Công ty liên kết gián tiếp (i),Công ty liên kết gián tiếp (i),Công ty liên kết gián tiếp (i),Công ty liên kết gián tiếp (i),,,,
1.,1.,1.,Công ty Magno GMBH,Cộng hòa Liên bang Đức,"22,87%","30,00% Thương mại",,,0.22870000000000001,
2.,2.,2.,Công ty Cổ phần Vinafacade,Hà Nội,"18,02%","20,86% Kinh doanh, lắp dụng kính xây dựng",,,0.1802,
3.,3.,3.,Công ty Cổ phần Viglacera Hạ Long II,Quảng Ninh,"20,19%","40,00% Sản xuất và kinh doanh gạch ngói",,,0.20190000000000002,
4.,4.,4.,Công ty Cổ phần Viglacera Đông Triều,Quảng Ninh,"20,19%","40,00% Sản xuất và kinh doanh gạch ngói",,,0.20190000000000002,
