row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > VNDGiá trịcó thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > VNDGiá trịcó thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > VNDGiá trịcó thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > VNDGiá trịcó thể thu hồi
"UBND huyện Hoành Bồ(tiền sử dụng đất, bồi thường và chi phí khác)","UBND huyện Hoành Bồ(tiền sử dụng đất, bồi thường và chi phí khác)","UBND huyện Hoành Bồ(tiền sử dụng đất, bồi thường và chi phí khác)",33.642.634.419,16.888.000.000,33.642.634.419,16.888.000.000,33642634419.0,16888000000.0,33642634419.0,16888000000.0
Công ty TNHH Thương mại và Dịch vụ Hưng Lợi,Công ty TNHH Thương mại và Dịch vụ Hưng Lợi,Công ty TNHH Thương mại và Dịch vụ Hưng Lợi,10.773.871.850,-,-,-,10773871850.0,,,
Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,6.276.862.862,-,6.276.862.862,-,6276862862.0,,6276862862.0,
Công ty TNHH TLG Thăng Long,Công ty TNHH TLG Thăng Long,Công ty TNHH TLG Thăng Long,6.197.848.091,-,6.197.848.091,-,6197848091.0,,6197848091.0,
Công ty Cổ phần Công nghệ kính Sado (trước đây là Công ty Cổ phần Sado Germany Window),Công ty Cổ phần Công nghệ kính Sado (trước đây là Công ty Cổ phần Sado Germany Window),Công ty Cổ phần Công nghệ kính Sado (trước đây là Công ty Cổ phần Sado Germany Window),5.628.095.883,3.309.927.711,6.175.268.784,1.186.789.366,5628095883.0,3309927711.0,6175268784.0,1186789366.0
Công ty Cổ phần Giấy Tây Đồ,Công ty Cổ phần Giấy Tây Đồ,Công ty Cổ phần Giấy Tây Đồ,5.867.662.357,-,5.917.662.357,500.000.000,5867662357.0,,5917662357.0,500000000.0
Công ty TNHH JUNA,Công ty TNHH JUNA,Công ty TNHH JUNA,5.191.824.617,-,5.191.824.617,678.506.394,5191824617.0,,5191824617.0,678506394.0
Công ty Cổ phần Bá Hiển,Công ty Cổ phần Bá Hiển,Công ty Cổ phần Bá Hiển,5.408.189.208,-,4.908.189.208,-,5408189208.0,,4908189208.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,249.979.713.323,8.965.960.937,283.888.134.190,46.762.326.311,249979713323.0,8965960937.0,283888134190.0,46762326311.0
,,,328.966.702.610,29.163.888.648,352.198.424.528,66.015.622.071,328966702610.0,29163888648.0,352198424528.0,66015622071.0
Tổng giá trị dự phòng đã trích lập,Tổng giá trị dự phòng đã trích lập,Tổng giá trị dự phòng đã trích lập,,299.802.813.962,,286.182.802.457,,299802813962.0,,286182802457.0
