row_label_raw,row_label_full,col_0,Nhà và quyềnsử dụng đất,Cơ sở hạ tầng,Tổng,numeric__Nhà và quyềnsử dụng đất,numeric__Cơ sở hạ tầng,numeric__Tổng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,1.333.095.979.894,10.552.776.087.741,11.885.872.067.635,1333095979894.0,10552776087741.0,11885872067635.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,14.578.357.491,1.222.719.955.212,1.237.298.312.703,14578357491.0,1222719955212.0,1237298312703.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,1.347.674.337.385,11.775.496.042.953,13.123.170.380.338,1347674337385.0,11775496042953.0,13123170380338.0
GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,453.651.756.853,9.489.797.992.831,9.943.449.749.684,453651756853.0,9489797992831.0,9943449749684.0
Trích khấu hao trong năm,GIÁ TRI HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,37.051.547.366,1.228.431.829.110,1.265.483.376.476,37051547366.0,1228431829110.0,1265483376476.0
Phân loại lại,GIÁ TRI HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(4.058.250),4.058.250,-,-4058250.0,4058250.0,
Số dư cuối năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,490.699.245.969,10.718.233.880.191,11.208.933.126.160,490699245969.0,10718233880191.0,11208933126160.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRI CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,879.444.223.041,1.062.978.094.910,1.942.422.317.951,879444223041.0,1062978094910.0,1942422317951.0
Tại ngày cuối năm,GIÁ TRI CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,856.975.091.416,1.057.262.162.762,1.914.237.254.178,856975091416.0,1057262162762.0,1914237254178.0
