row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Giá trị thương hiệu, nhân hiệu hàng hóa, bản quyền, bằng sáng chế",Phần mềm máy tính,"Chi phí đến bù, san lắp mặt bằng",Tài sản khác,Tổng,numeric__Quyền sử dụng đất,"numeric__Giá trị thương hiệu, nhân hiệu hàng hóa, bản quyền, bằng sáng chế",numeric__Phần mềm máy tính,"numeric__Chi phí đến bù, san lắp mặt bằng",numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,96.539.538.295,3.305.486.937,15.744.227.282,93.259.704.164,10.256.832.834,219.105.789.512,96539538295.0,3305486937.0,15744227282.0,93259704164.0,10256832834.0,219105789512.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,5.423.503.948,-,-,5.423.503.948,,,5423503948.0,,,5423503948.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,96.539.538.295,3.305.486.937,21.167.731.230,93.259.704.164,10.256.832.834,224.529.293.460,96539538295.0,3305486937.0,21167731230.0,93259704164.0,10256832834.0,224529293460.0
GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,GIÁ TRI HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,21.165.896.580,1.190.874.917,10.255.936.165,22.743.253.459,3.250.939.134,58.606.900.255,21165896580.0,1190874917.0,10255936165.0,22743253459.0,3250939134.0,58606900255.0
Khẩu hao trong năm,GIÁ TRI HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,1.080.552.530,275.457.252,1.339.306.916,2.186.773.796,546.284.712,5.428.375.206,1080552530.0,275457252.0,1339306916.0,2186773796.0,546284712.0,5428375206.0
Số dư cuối năm,GIÁ TRI HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,22.246.449.110,1.466.332.169,11.595.243.081,24.930.027.255,3.797.223.846,64.035.275.461,22246449110.0,1466332169.0,11595243081.0,24930027255.0,3797223846.0,64035275461.0
GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,GIÁ TRI CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRI CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,75.373.641.715,2.114.612.020,5.488.291.117,70.516.450.705,7.005.893.700,160.498.889.257,75373641715.0,2114612020.0,5488291117.0,70516450705.0,7005893700.0,160498889257.0
Tại ngày cuối năm,GIÁ TRI CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,74.293.089.185,1.839.154.768,9.572.488.149,68.329.676.909,6.459.608.988,160.494.017.999,74293089185.0,1839154768.0,9572488149.0,68329676909.0,6459608988.0,160494017999.0
