row_label_raw,row_label_full,Công ty,Công ty > Số dư đầu năm,Công ty > Phân lãi/(lỗ) công ty liên doanh liên kết,Công ty > Phân phối quỹ và điều chỉnh khác,Năm nay > Chênh lệch tỷ giá hối doái do chuyển đổi báo cáo bằng ngoại tệ,Năm trước > Số dư cuối năm,numeric__Công ty > Số dư đầu năm,numeric__Công ty > Phân lãi/(lỗ) công ty liên doanh liên kết,numeric__Công ty > Phân phối quỹ và điều chỉnh khác,numeric__Năm nay > Chênh lệch tỷ giá hối doái do chuyển đổi báo cáo bằng ngoại tệ,numeric__Năm trước > Số dư cuối năm
Hoạt động kinh doanh có lãi,Hoạt động kinh doanh có lãi,Hoạt động kinh doanh có lãi,,,,2 công ty,2 công ty,,,,,
Hoạt động kinh doanh bị lỗ,Hoạt động kinh doanh bị lỗ,Hoạt động kinh doanh bị lỗ,,,,7 công ty,8 công ty,,,,,
Đang trong quá trình giải thế,Đang trong quá trình giải thế,Đang trong quá trình giải thế,,,,1 công ty,0 công ty,,,,,
"Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau:","Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau:","Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau:","Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau:","Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau:","Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau:","Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau:","Biến động khoản đầu tư vào công ty liên doanh, liên kết như sau:",,,,,
,,,Số dư đầu năm,Phân lãi/(lỗ) công ty liên doanh liên kết,Phân phối quỹ và điều chỉnh khác,Chênh lệch tỷ giá hối doái do chuyển đổi báo cáo bằng ngoại tệ,Số dư cuối năm,,,,,
- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,,,,,
Công ty TNHH Kính nối Việt Nam,- Đầu tư vào công ty liên doanh > Công ty TNHH Kính nối Việt Nam,Công ty TNHH Kính nối Việt Nam,208.885.466.119,(54.366.927.737),-,-,154.518.538.382,208885466119.0,-54366927737.0,,,154518538382.0
Công ty SanVig - CTCP,- Đầu tư vào công ty liên doanh > Công ty SanVig - CTCP,Công ty SanVig - CTCP,135.415.672.872,2.401.221.770,81.110.030,1.502.521.385,139.400.526.057,135415672872.0,2401221770.0,81110030.0,1502521385.0,139400526057.0
- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,,,,,
Công ty Cổ phần Gạch ngói Từ Sơn,- Đầu tư vào công ty liên kết > Công ty Cổ phần Gạch ngói Từ Sơn,Công ty Cổ phần Gạch ngói Từ Sơn,4.150.563.988,(1.259.479.332),-,-,2.891.084.656,4150563988.0,-1259479332.0,,,2891084656.0
Công ty Cổ phần Gốm Xây dựng Yên Hưng,Công ty Cổ phần Gốm Xây dựng Yên Hưng,Công ty Cổ phần Gốm Xây dựng Yên Hưng,-,-,-,-,-,,,,,
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Gốm Xây dựng Yên Hưng > Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,22.176.872.675,153.122.252,(27.379.721),-,22.302.615.206,22176872675.0,153122252.0,-27379721.0,,22302615206.0
Công ty Cổ phần Gạch chịu lửa Cầu Duống,Công ty Cổ phần Gốm Xây dựng Yên Hưng > Công ty Cổ phần Gạch chịu lửa Cầu Duống,Công ty Cổ phần Gạch chịu lửa Cầu Duống,1.235.530.869,(1.235.530.869),-,-,-,1235530869.0,-1235530869.0,,,
Công ty Cổ phần Viglacera Hạ Long II,Công ty Cổ phần Gốm Xây dựng Yên Hưng > Công ty Cổ phần Viglacera Hạ Long II,Công ty Cổ phần Viglacera Hạ Long II,13.927.173.736,(5.679.326.373),-,-,8.247.847.363,13927173736.0,-5679326373.0,,,8247847363.0
Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Gốm Xây dựng Yên Hưng > Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,43.242.250.933,(14.782.200.533),-,-,28.460.050.400,43242250933.0,-14782200533.0,,,28460050400.0
Công ty Cổ phần Vinafacade,Công ty Cổ phần Gốm Xây dựng Yên Hưng > Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,826.402.744,-,-,-,826.402.744,826402744.0,,,,826402744.0
Công ty Magno GMBH,Công ty Cổ phần Gốm Xây dựng Yên Hưng > Công ty Magno GMBH,Công ty Magno GMBH,226.185.000,-,-,-,226.185.000,226185000.0,,,,226185000.0
,,,430.086.118.936,(74.769.120.822),53.730.309,1.502.521.385,356.873.249.808,430086118936.0,-74769120822.0,53730309.0,1502521385.0,356873249808.0
