row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,33,12.051.482.639.966,13.342.467.325.243,,1.0,33.0,12051482639966.0,13342467325243.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,33,145.126.698.439,148.648.897.197,,2.0,33.0,145126698439.0,148648897197.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,33,11.906.355.941.527,13.193.818.428.046,,10.0,33.0,11906355941527.0,13193818428046.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,34,8.389.049.269.758,9.674.692.360.146,,11.0,34.0,8389049269758.0,9674692360146.0
5.,5.,5.,Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),20,,3.517.306.671.769,3.519.126.067.900,,20.0,,3517306671769.0,3519126067900.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,36,75.803.932.341,60.529.622.370,,21.0,36.0,75803932341.0,60529622370.0
7.,7.,7.,Chi phí tài chính,22,37,310.363.905.667,380.885.840.494,,22.0,37.0,310363905667.0,380885840494.0
,,,- Trong đó: Chi phí lãi vay,23,,268.896.807.699,348.457.380.117,,23.0,,268896807699.0,348457380117.0
8.,8.,8.,"Phần lỗ trong công ty liên doanh, liên kết",24,5,(74.769.120.822),(36.392.135.098),,24.0,5.0,-74769120822.0,-36392135098.0
9.,9.,9.,Chi phí bán hàng,25,38,861.838.342.910,812.377.184.581,,25.0,38.0,861838342910.0,812377184581.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,38,744.493.344.308,756.017.100.394,,26.0,38.0,744493344308.0,756017100394.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,1.601.645.890.403,1.593.983.429.703,,30.0,,1601645890403.0,1593983429703.0
12.,12.,12.,Thu nhập khác,31,39,123.961.456.138,72.067.424.203,,31.0,39.0,123961456138.0,72067424203.0
13.,13.,13.,Chi phí khác,32,40,95.281.696.431,64.112.316.489,,32.0,40.0,95281696431.0,64112316489.0
14.,14.,14.,Lợi nhuận khác (40=31-32),40,,28.679.759.707,7.955.107.714,,40.0,,28679759707.0,7955107714.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.630.325.650.110,1.601.938.537.417,,50.0,,1630325650110.0,1601938537417.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,41,411.948.856.891,425.202.407.709,,51.0,41.0,411948856891.0,425202407709.0
17.,17.,17.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,25,30.758.200.639,14.496.988.030,,52.0,25.0,30758200639.0,14496988030.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.187.618.592.580,1.162.239.141.678,,60.0,,1187618592580.0,1162239141678.0
,,,Trong đó:,,,,,,,,,
,,,Lợi nhuận sau thuế của Công ty mẹ,61,,1.104.734.866.668,1.218.120.252.933,,61.0,,1104734866668.0,1218120252933.0
,,,Lợi nhuận/(lỗ) sau thuế của cổ đông không kiểm soát,62,,82.883.725.912,(55.881.111.255),,62.0,,82883725912.0,-55881111255.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,42,2.464,2.489,,70.0,42.0,2464.0,2489.0
