row_label_raw,row_label_full,col_0,Nhóm bắt động sảnvà xây dựng,"Nhóm kính, gương","Nhóm sữ, sen vòi vàphụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngốidất sét nung",Bộ phận khác,Loại trừ nội bộ,Đơn vị: VND,numeric__Nhóm bắt động sảnvà xây dựng,"numeric__Nhóm kính, gương","numeric__Nhóm sữ, sen vòi vàphụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngốidất sét nung",numeric__Bộ phận khác,numeric__Loại trừ nội bộ,numeric__Đơn vị: VND
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,22.037.954.535.301,3.351.951.429.840,1.405.876.914.336,3.482.257.600.435,740.818.287.710,137.512.398.492,(6.705.669.467.900),Tổng cộng các bộ phận,22037954535301.0,3351951429840.0,1405876914336.0,3482257600435.0,740818287710.0,137512398492.0,-6705669467900.0,
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,,,,,24.450.701.698.214,,,,,,,,24450701698214.0
,,,,,,,,,,376.717.229.924,,,,,,,,376717229924.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,22.037.954.535.301,3.351.951.429.840,1.405.876.914.336,3.482.257.600.435,740.818.287.710,137.512.398.492,(6.705.669.467.900),24.827.418.928.138,22037954535301.0,3351951429840.0,1405876914336.0,3482257600435.0,740818287710.0,137512398492.0,-6705669467900.0,24827418928138.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,(14.898.607.325.715),(2.409.269.810.117),(1.226.283.621.914),(2.732.959.709.705),(366.900.222.908),(81.828.010.472),7.028.745.845.505,(14.687.102.855.326),-14898607325715.0,-2409269810117.0,-1226283621914.0,-2732959709705.0,-366900222908.0,-81828010472.0,7028745845505.0,-14687102855326.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,(187.316.417.409),,,,,,,,-187316417409.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,(14.898.607.325.715),(2.409.269.810.117),(1.226.283.621.914),(2.732.959.709.705),(366.900.222.908),(81.828.010.472),7.028.745.845.505,(14.874.419.272.735),-14898607325715.0,-2409269810117.0,-1226283621914.0,-2732959709705.0,-366900222908.0,-81828010472.0,7028745845505.0,-14874419272735.0
Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,,,,,
,,,Nhóm bắt động sảnvà xây dựng,"Nhóm kính, gương","Nhóm sữ, sen vòi vàphụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngốidất sét nung",Bộ phận khác,Loại trừ nội bộ,Đơn vị: VND,,,,,,,,
Tải sản bộ phận,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Tải sản bộ phận,Tải sản bộ phận,19.724.249.370.765,3.913.895.131.615,1.696.677.015.750,3.585.783.804.177,832.704.400.908,142.427.088.883,(6.249.437.184.785),Tổng cộng các bộ phận,19724249370765.0,3913895131615.0,1696677015750.0,3585783804177.0,832704400908.0,142427088883.0,-6249437184785.0,
Tải sản không phân bổ,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Tải sản không phân bổ,Tải sản không phân bổ,,,,,,,,23.646.299.627.313,,,,,,,,23646299627313.0
,,,,,,,,,,453.890.463.972,,,,,,,,453890463972.0
Tổng tài sản,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Tổng tài sản,Tổng tài sản,19.724.249.370.765,3.913.895.131.615,1.696.677.015.750,3.585.783.804.177,832.704.400.908,142.427.088.883,(6.249.437.184.785),24.100.190.091.285,19724249370765.0,3913895131615.0,1696677015750.0,3585783804177.0,832704400908.0,142427088883.0,-6249437184785.0,24100190091285.0
Nợ phải trả của các bộ phận,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,(13.276.811.215.951),(2.789.648.975.930),(1.493.104.157.807),(2.902.408.614.294),(408.819.154.213),(97.768.260.676),6.553.206.785.970,(14.415.353.592.901),-13276811215951.0,-2789648975930.0,-1493104157807.0,-2902408614294.0,-408819154213.0,-97768260676.0,6553206785970.0,-14415353592901.0
Nợ phải trả không phân bổ,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,(160.518.581.689),,,,,,,,-160518581689.0
Tổng nợ phải trả,Bằng cân đối kế toán hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Tổng nợ phải trả,Tổng nợ phải trả,(13.276.811.215.951),(2.789.648.975.930),(1.493.104.157.807),(2.902.408.614.294),(408.819.154.213),(97.768.260.676),6.553.206.785.970,(14.575.872.174.590),-13276811215951.0,-2789648975930.0,-1493104157807.0,-2902408614294.0,-408819154213.0,-97768260676.0,6553206785970.0,-14575872174590.0
