row_label_raw,row_label_full,Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,Loại tiền > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,Lãi suất năm > 2018 > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,Lãi suất năm > 2017 > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,31/12/2018VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,1/1/2018VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__Loại tiền > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__Lãi suất năm > 2018 > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__Lãi suất năm > 2017 > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__31/12/2018VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau,numeric__1/1/2018VND > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Cà Mau
Khoản vay 1,Khoản vay 1,Khoản vay 1,USD,"2,5% - 3,8%","1,5% - 2,0%",1.284.562.678.900,1.469.201.913.706,,,,1284562678900.0,1469201913706.0
Khoản vay 2,Khoản vay 2,Khoản vay 2,USD,"2,0% - 2,2%","2,0% - 2,2%",1.255.643.153.040,974.028.399.706,,,,1255643153040.0,974028399706.0
Khoản vay 3,Khoản vay 3,Khoản vay 3,USD,"2,0%","2,0%",-,55.661.639.210,,0.02,0.02,,55661639210.0
Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau,,,,,
Khoản vay 1,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Khoản vay 1,Khoản vay 1,USD,"2,5% - 3,8%","2,0% - 3,0%",330.832.858.400,407.618.902.877,,,,330832858400.0,407618902877.0
Khoản vay 2,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Khoản vay 2,Khoản vay 2,USD,"3,1%","4,7% - 5,0%",75.143.988.000,270.377.089.221,,0.031,,75143988000.0,270377089221.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Cà Mau,USD,"2,5% - 3,4%","2,0% - 2,4%",214.979.090.320,294.413.679.512,,,,214979090320.0,294413679512.0
Ngân hàng Citibank – Bắc Mỹ,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Ngân hàng Citibank – Bắc Mỹ,Ngân hàng Citibank – Bắc Mỹ,USD,0%,0%,4.640.000.000,4.542.000.000,,0.0,0.0,4640000000.0,4542000000.0
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,USD,"3,4%",-,131.608.102.644,-,,0.034,,131608102644.0,
Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Cà Mau > Ngân hàng TMCP Phương Đông,Ngân hàng TMCP Phương Đông,USD,"3,4%",-,79.816.120.000,-,,0.034,,79816120000.0,
,,,,,,3.377.225.991.304,3.475.843.624.232,,,,3377225991304.0,3475843624232.0
