row_label_raw,row_label_full,col_0,Quyền sử dụng đất không xác định thời hạn VND,Quyền sử dụng đất có xác định thời hạn VND,Phần mềm máy tính VND,Tổng VND,numeric__Quyền sử dụng đất không xác định thời hạn VND,numeric__Quyền sử dụng đất có xác định thời hạn VND,numeric__Phần mềm máy tính VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,18.921.731.470,22.181.099.585,30.150.276.330,71.253.107.385,18921731470.0,22181099585.0,30150276330.0,71253107385.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,200.000.000,200.000.000,,,200000000.0,200000000.0
Phân loại từ chi phí trả trước dài hạn,Nguyên giá > Phân loại từ chi phí trả trước dài hạn,Phân loại từ chi phí trả trước dài hạn,-,97.608.400.513,-,97.608.400.513,,97608400513.0,,97608400513.0
Chênh lệch tỷ giá hối đoái,Nguyên giá > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,320.830.930,-,-,320.830.930,320830930.0,,,320830930.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,19.242.562.400,119.789.500.098,30.350.276.330,169.382.338.828,19242562400.0,119789500098.0,30350276330.0,169382338828.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,4.746.339.831,7.053.183.606,11.799.523.437,,4746339831.0,7053183606.0,11799523437.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,2.484.351.227,2.377.530.521,4.861.881.748,,2484351227.0,2377530521.0,4861881748.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,7.230.691.058,9.430.714.127,16.661.405.185,,7230691058.0,9430714127.0,16661405185.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,18.921.731.470,17.434.759.754,23.097.092.724,59.453.583.948,18921731470.0,17434759754.0,23097092724.0,59453583948.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,19.242.562.400,112.558.809.040,20.919.562.203,152.720.933.643,19242562400.0,112558809040.0,20919562203.0,152720933643.0
