row_label_raw,row_label_full,Số cổ phiếu phổ thông đã phát hành đầu năm,2018Cổ phiếu > 70.000.000,2017(sau điều chỉnh)Cổ phiếu > 70.000.000,2017(theo báo cáo trước đây)Cổ phiếu > 70.000.000,numeric__2018Cổ phiếu > 70.000.000,numeric__2017(sau điều chỉnh)Cổ phiếu > 70.000.000,numeric__2017(theo báo cáo trước đây)Cổ phiếu > 70.000.000
Ảnh hưởng của cổ phiếu quỹ Công ty đang nấm giữ,Ảnh hưởng của cổ phiếu quỹ Công ty đang nấm giữ,Ảnh hưởng của cổ phiếu quỹ Công ty đang nấm giữ,(1.537.150),(1.537.150),(1.537.150),-1537150.0,-1537150.0,-1537150.0
Ảnh hưởng của cổ phiếu phổ thông phát hành thêm,Ảnh hưởng của cổ phiếu phổ thông phát hành thêm,Ảnh hưởng của cổ phiếu phổ thông phát hành thêm,68.462.850,68.462.850,-,68462850.0,68462850.0,
Ảnh hưởng của cổ phiếu thường đã phát hành,Ảnh hưởng của cổ phiếu thường đã phát hành,Ảnh hưởng của cổ phiếu thường đã phát hành,678.031,-,-,678031.0,,
Số lượng bình quân gia quyền của cổ phiếu phổ thông tại thời điểm cuối năm,Số lượng bình quân gia quyền của cổ phiếu phổ thông tại thời điểm cuối năm,Số lượng bình quân gia quyền của cổ phiếu phổ thông tại thời điểm cuối năm,137.603.731,136.925.700,68.462.850,137603731.0,136925700.0,68462850.0
