row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,733.572.289.276,1.173.002.865.963,159.878.171.212,20.795.505.227,2.087.248.831.678,733572289276.0,1173002865963.0,159878171212.0,20795505227.0,2087248831678.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.730.355.504,125.230.552.643,5.208.206.771,532.908.184,132.702.023.102,1730355504.0,125230552643.0,5208206771.0,532908184.0,132702023102.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,4.448.310.010,113.407.120,2.252.300.000,-,6.814.017.130,4448310010.0,113407120.0,2252300000.0,,6814017130.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(656.181.818),-,(656.181.818),,,-656181818.0,,-656181818.0
Chênh lệch tỷ giá hối đoái,Nguyên giá > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,271.266.450,-,-,14.081.130,285.347.580,271266450.0,,,14081130.0,285347580.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,740.022.221.240,1.298.346.825.726,166.682.496.165,21.342.494.541,2.226.394.037.672,740022221240.0,1298346825726.0,166682496165.0,21342494541.0,2226394037672.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,297.213.448.877,755.339.403.586,100.562.329.018,14.775.621.700,1.167.890.803.181,297213448877.0,755339403586.0,100562329018.0,14775621700.0,1167890803181.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,35.728.230.256,118.780.510.387,15.737.582.419,1.777.316.338,172.023.639.400,35728230256.0,118780510387.0,15737582419.0,1777316338.0,172023639400.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(656.181.818),-,(656.181.818),,,-656181818.0,,-656181818.0
Chênh lệch tỷ giá hối đoái,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,74.965.590,-,-,14.081.130,89.046.720,74965590.0,,,14081130.0,89046720.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,333.016.644.723,874.119.913.973,115.643.729.619,16.567.019.168,1.339.347.307.483,333016644723.0,874119913973.0,115643729619.0,16567019168.0,1339347307483.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,436.358.840.399,417.663.462.377,59.315.842.194,6.019.883.527,919.358.028.497,436358840399.0,417663462377.0,59315842194.0,6019883527.0,919358028497.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,407.005.576.517,424.226.911.753,51.038.766.546,4.775.475.373,887.046.730.189,407005576517.0,424226911753.0,51038766546.0,4775475373.0,887046730189.0
