row_label_raw,row_label_full,Số đầu năm > Mua trong năm,576.757.016.615 > 95.704.384.089,numeric__576.757.016.615 > 95.704.384.089
Kết chuyển từ hàng tồn kho,Kết chuyển từ hàng tồn kho,Kết chuyển từ hàng tồn kho,2.247.550.882,2247550882.0
Số cuối năm,Số cuối năm,Số cuối năm,674.708.951.586,674708951586.0
