row_label_raw,row_label_full,Công ty,Địa điểm Tỉnh trạng,Địa điểm Tỉnh trạng_1,Ngành nghề kinh doanh,Tỷ lệ lợi ích %,Tỷ lệ biểu quyết %,numeric__Địa điểm Tỉnh trạng,numeric__Địa điểm Tỉnh trạng_1,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ lợi ích %,numeric__Tỷ lệ biểu quyết %
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,
Công ty Cổ phầnMay Tiến Phát,Công ty liên kết > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,HCMC,Đang hoạt động,Bắt động sản và dịch vụ thương mại,"12,51",(*),,,,12.51,
Công ty Cổ phầnĐầu tư Xây dựng Long An - IDICO,Công ty liên kết > Công ty Cổ phầnĐầu tư Xây dựng Long An - IDICO,Công ty Cổ phầnĐầu tư Xây dựng Long An - IDICO,HCMC,Đang hoạt động,Bắt động sản và dịch vụ thương mại,"23,98","24,00",,,,23.98,24.0
Công ty Cổ phần Đầu tưĐịa ốc Kim Thành,Công ty liên kết > Công ty Cổ phần Đầu tưĐịa ốc Kim Thành,Công ty Cổ phần Đầu tưĐịa ốc Kim Thành,HCMC,Đang hoạt động,Bắt động sản,"48,00","48,00",,,,48.0,48.0
Công ty Cổ phần Đầu tưSVG,Công ty liên kết > Công ty Cổ phần Đầu tưSVG,Công ty Cổ phần Đầu tưSVG,HCMC,Đang hoạt động,Sản xuất và xây dựng,"50,00",(*),,,,50.0,
Công ty Cổ phần Sân xuất Xây dựng Dịch vụ Hoa Đồng,Công ty liên kết > Công ty Cổ phần Sân xuất Xây dựng Dịch vụ Hoa Đồng,Công ty Cổ phần Sân xuất Xây dựng Dịch vụ Hoa Đồng,HCMC,Đang hoạt động,Sản xuất và xây dựng,"34,47","36,90",,,,34.47,36.9
