row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,VND,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__VND
,,,Tỷ lệ sở hữu,Giá gốc đầu tư (VND),Dự phòng,Tỷ lệ sở hữu,Giá gốc đầu tư phòng (VND),Dự phòng,,,,,,
Công ty Cổ phần KhuCông nghiệp Thành Thành Công (*),Công ty Cổ phần KhuCông nghiệp Thành Thành Công (*),Công ty Cổ phần KhuCông nghiệp Thành Thành Công (*),"24,41",527.521.636.000,,"19,05",257.241.636.000,-,24.41,527521636000.0,,19.05,257241636000.0,
Công ty Khai thác vàQuản lý KhuCông nghiệpĐăng Huỳnh,Công ty Khai thác vàQuản lý KhuCông nghiệpĐăng Huỳnh,Công ty Khai thác vàQuản lý KhuCông nghiệpĐăng Huỳnh,"3,21",43.350.000.000,,-,-,-,3.21,43350000000.0,,,,
Công ty Cổ phần Đầu Tư BắtĐông Sản 66,Công ty Cổ phần Đầu Tư BắtĐông Sản 66,Công ty Cổ phần Đầu Tư BắtĐông Sản 66,8,1.600.000.000,(158.129.458),8,1.600.000.000,-,8.0,1600000000.0,-158129458.0,8.0,1600000000.0,
Công ty Xây dựng Hùng Anh,Công ty Xây dựng Hùng Anh,Công ty Xây dựng Hùng Anh,"0,62",14.951.584,,-,-,-,0.62,14951584.0,,,,
Công ty Cổ phần Đầu tư vàXây dựng Công nghệ mới Đại Nam,Công ty Cổ phần Đầu tư vàXây dựng Công nghệ mới Đại Nam,Công ty Cổ phần Đầu tư vàXây dựng Công nghệ mới Đại Nam,-,-,,"3,17",1.000.000.000,-,,,,3.17,1000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,572.486.587.584,(158.129.458),,259.841.636.000,-,,572486587584.0,-158129458.0,,259841636000.0,
