row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,249.090.909,1.332.069.713,1.290.830.909,12.868.614.947,15.740.606.478,249090909.0,1332069713.0,1290830909.0,12868614947.0,15740606478.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,-,252.424.249,-,252.424.249,,,252424249.0,,252424249.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,-,(58.254.780),(383.209.704),(46.500.000),(487.964.484),,-58254780.0,-383209704.0,-46500000.0,-487964484.0
Xóa số,Nguyên giá: > Xóa số,Xóa số,-,(11.272.727),-,(451.394.178),(462.666.905),,-11272727.0,,-451394178.0,-462666905.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,249.090.909,1.262.542.206,1.160.045.454,12.370.720.769,15.042.399.338,249090909.0,1262542206.0,1160045454.0,12370720769.0,15042399338.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,1.023.943.943,-,6.691.696.438,7.715.640.381,,1023943943.0,,6691696438.0,7715640381.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(186.818.184),(1.159.217.514),(318.850.856),(9.267.319.500),(10.932.206.054),-186818184.0,-1159217514.0,-318850856.0,-9267319500.0,-10932206054.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(41.515.152),(72.103.656),(180.058.076),(1.114.310.836),(1.407.987.720),-41515152.0,-72103656.0,-180058076.0,-1114310836.0,-1407987720.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,-,58.254.780,31.403.268,12.400.000,102.058.048,,58254780.0,31403268.0,12400000.0,102058048.0
Xóa số,Giá trị khấu hao lũy kế: > Xóa số,Xóa số,-,11.272.727,-,451.394.178,462.666.905,,11272727.0,,451394178.0,462666905.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(228.333.336),(1.161.793.663),(467.505.664),(9.917.836.158),(11.775.468.821),-228333336.0,-1161793663.0,-467505664.0,-9917836158.0,-11775468821.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,62.272.725,172.852.199,971.980.053,3.601.295.447,4.808.400.424,62272725.0,172852199.0,971980053.0,3601295447.0,4808400424.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,20.757.573,100.748.543,692.539.790,2.452.884.611,3.266.930.517,20757573.0,100748543.0,692539790.0,2452884611.0,3266930517.0
