row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Vay,Vay,Vay,Vay,Vay,Vay,Vay,,,,
Công ty Cổ phầnMay Tiến Phát,Vay > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Công ty liên kết,Vay,58.063.752.744,-,,,58063752744.0,
Ông Vũ Quốc Thái,Vay > Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Thành viên HĐQT,Vay,16.498.845.238,-,,,16498845238.0,
Công ty Cổ phầnĐầu tư Địa ốc Kim Thanh,Vay > Công ty Cổ phầnĐầu tư Địa ốc Kim Thanh,Công ty Cổ phầnĐầu tư Địa ốc Kim Thanh,Công ty liên kết,Vay,7.300.000.000,9.500.000.000,,,7300000000.0,9500000000.0
Ông Bùi Tiến Thắng,Vay > Ông Bùi Tiến Thắng,Ông Bùi Tiến Thắng,Phó chủ tịch HĐQT,Vay,1.839.124.801,9.075.508.500,,,1839124801.0,9075508500.0
Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Vay > Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty trong cùng Tập đoàn,Vay,600.000.000,-,,,600000000.0,
Bà Nguyễn Thị Thanh Thảo,Vay > Bà Nguyễn Thị Thanh Thảo,Bà Nguyễn Thị Thanh Thảo,Kế toán trưởng,Vay,250.000.000,-,,,250000000.0,
Ông Võ Quốc Khánh,Vay > Ông Võ Quốc Khánh,Ông Võ Quốc Khánh,Tổng Giám đốc,Vay,100.000.000,-,,,100000000.0,
Công ty Cổ phầnĐầu tư Tín Nghĩa Á Châu,Vay > Công ty Cổ phầnĐầu tư Tín Nghĩa Á Châu,Công ty Cổ phầnĐầu tư Tín Nghĩa Á Châu,Công ty trong cùng Tập đoàn,Vay,-,59.750.000.000,,,,59750000000.0
Công ty Cổ phầnKhu Công nghiệp Thành Thành Công,Vay > Công ty Cổ phầnKhu Công nghiệp Thành Thành Công,Công ty Cổ phầnKhu Công nghiệp Thành Thành Công,Đầu tư khác,Vay,-,30.000.000.000,,,,30000000000.0
Công ty Cổ phầnBao bì và Kho bãi Bình Tây,Vay > Công ty Cổ phầnBao bì và Kho bãi Bình Tây,Công ty Cổ phầnBao bì và Kho bãi Bình Tây,Bên liên quan,Vay,-,23.552.000.000,,,,23552000000.0
Ông Nguyễn Đăng Thanh,Vay > Ông Nguyễn Đăng Thanh,Ông Nguyễn Đăng Thanh,Chủ tịch HĐQT đến ngày 29 tháng 6 năm 2020,Vay,-,8.750.000.000,,,,8750000000.0
Công ty Cổ phầnDu lịch Thành Thành Công Lâm Đồng,Vay > Công ty Cổ phầnDu lịch Thành Thành Công Lâm Đồng,Công ty Cổ phầnDu lịch Thành Thành Công Lâm Đồng,Công ty trong cùng Tập đoàn,Vay,-,5.000.000.000,,,,5000000000.0
Ông Lâm Minh Châu,Vay > Ông Lâm Minh Châu,Ông Lâm Minh Châu,Trường TBKT đến ngày 29 tháng 6 năm 2020,Vay,-,2.111.729.812,,,,2111729812.0
Bà Nguyễn Thị Hằng Nga,Vay > Bà Nguyễn Thị Hằng Nga,Bà Nguyễn Thị Hằng Nga,Phó Tổng giám đốc đến ngày 26 tháng 1 năm 2020,Vay,-,2.000.000.000,,,,2000000000.0
Ông Trần Lam Thông,Vay > Ông Trần Lam Thông,Ông Trần Lam Thông,Bên liên quan,Vay,-,708.838.067,,,,708838067.0
Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Vay > Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Bên liên quan khác,Vay,-,291.510.549,,,,291510549.0
