row_label_raw,row_label_full,Quyền sử dụng đất,Phần mềm vi tính,Tài sản khác,VND Tổng cộng,numeric__Phần mềm vi tính,numeric__Tài sản khác,numeric__VND Tổng cộng
209.629.895.999,209.629.895.999,209.629.895.999,13.792.520.696,2.585.810.000,226.008.226.695,13792520696.0,2585810000.0,226008226695.0
-,-,-,2.470.644.300,1.381.061.000,3.851.705.300,2470644300.0,1381061000.0,3851705300.0
-,-,-,(48.401.783),-,(48.401.783),-48401783.0,,-48401783.0
209.629.895.999,209.629.895.999,209.629.895.999,16.214.763.213,3.966.871.000,229.811.530.212,16214763213.0,3966871000.0,229811530212.0
-,-,-,3.554.528.880,-,3.554.528.880,3554528880.0,,3554528880.0
(11.257.154.993),(11.257.154.993),(11.257.154.993),(5.010.829.206),(1.453.188.671),(17.721.172.870),-5010829206.0,-1453188671.0,-17721172870.0
(3.684.959.820),(3.684.959.820),(3.684.959.820),(1.648.574.411),(234.802.058),(5.568.336.289),-1648574411.0,-234802058.0,-5568336289.0
-,-,-,48.401.783,-,48.401.783,48401783.0,,48401783.0
(14.942.114.813),(14.942.114.813),(14.942.114.813),(6.611.001.834),(1.687.990.729),(23.241.107.376),-6611001834.0,-1687990729.0,-23241107376.0
198.372.741.006,198.372.741.006,198.372.741.006,8.781.691.490,1.132.621.329,208.287.053.825,8781691490.0,1132621329.0,208287053825.0
194.687.781.186,194.687.781.186,194.687.781.186,9.603.761.379,2.278.880.271,206.570.422.836,9603761379.0,2278880271.0,206570422836.0
90.175.781.818,90.175.781.818,90.175.781.818,-,-,90.175.781.818,,,90175781818.0
