row_label_raw,row_label_full,Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Đầu tư khác,Mua hàng hóa và dịch vụ,470.646.667.738,41.655.000.000,numeric__Đầu tư khác,numeric__Mua hàng hóa và dịch vụ,numeric__470.646.667.738,numeric__41.655.000.000
Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,Bên liên quan,Mua hàng hóa và dịch vụ,71.400.000.000,-,,,71400000000.0,
Công ty Cổ phần Chứng khoán Bản Việt,Công ty Cổ phần Chứng khoán Bản Việt,Công ty Cổ phần Chứng khoán Bản Việt,Cổ đông lớn,Mua hàng hóa và dịch vụ,100.000.000,-,,,100000000.0,
Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty trong cùng Tập đoàn,Mua hàng hóa và dịch vụ,28.375.000,-,,,28375000.0,
Công ty TNHH MTV Dịch vụ Bất động sản Minh Anh,Công ty TNHH MTV Dịch vụ Bất động sản Minh Anh,Công ty TNHH MTV Dịch vụ Bất động sản Minh Anh,Bên liên quan,Mua hàng hóa và dịch vụ,-,61.500.000.000,,,,61500000000.0
Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty liên kết,Mua hàng hóa và dịch vụ,-,5.200.000.000,,,,5200000000.0
Công ty TNHH Tư vấn Thiết kế Kiến trúc và Xây dựng Hải Thành,Công ty TNHH Tư vấn Thiết kế Kiến trúc và Xây dựng Hải Thành,Công ty TNHH Tư vấn Thiết kế Kiến trúc và Xây dựng Hải Thành,Bên liên quan,Mua hàng hóa và dịch vụ,-,385.000.000,,,,385000000.0
,,,,,542.175.042.738,108.740.000.000,,,542175042738.0,108740000000.0
