row_label_raw,row_label_full,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông,Bán hàng hóa và dịch vụ,10.835.000,-,numeric__Cổ đông,numeric__Bán hàng hóa và dịch vụ,numeric__10.835.000,numeric__-
Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Thành viên HĐQT,Bán hàng hóa và dịch vụ,-,17.550.000.742,,,,17550000742.0
Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Đầu tư khác,Bán hàng hóa và dịch vụ,-,1.017.879.675,,,,1017879675.0
Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Công ty liên kết,Bán hàng hóa và dịch vụ,-,434.703.225,,,,434703225.0
,,,,,10.835.000,19.002.583.642,,,10835000.0,19002583642.0
