row_label_raw,row_label_full,Cho vay bên liên quan (Thuyết minh số 35) (i),Số cuối năm > 2.046.804.144.445,VND Số đầu năm > 1.887.455.340.332,numeric__Số cuối năm > 2.046.804.144.445,numeric__VND Số đầu năm > 1.887.455.340.332
Cho vay bên khác (ii),Cho vay bên khác (ii),Cho vay bên khác (ii),156.000.000.000,202.185.000.000,156000000000.0,202185000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.202.804.144.445,2.089.640.340.332,2202804144445.0,2089640340332.0
