row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,,,,
Ông Trần LamThống,Phải thu ngắn hạn của khách hàng > Ông Trần LamThống,Ông Trần LamThống,Bên liên quan,Phải thu chuyển nhượng cổ phiếu,28.470.000.000,28.740.000.000,,,28470000000.0,28740000000.0
Công ty Cổ phầnMay Tiến Phát,Phải thu ngắn hạn của khách hàng > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Công ty liên kết,Bán hàng hóa và dịch vụ,26.615.190.719,64.264.644.561,,,26615190719.0,64264644561.0
Ông Nguyễn Hữu Đạt,Phải thu ngắn hạn của khách hàng > Ông Nguyễn Hữu Đạt,Ông Nguyễn Hữu Đạt,Bên liên quan,Bán hàng hóa và dịch vụ,10.233.197.451,-,,,10233197451.0,
Công ty Cổ phầnToàn Hải Vân,Phải thu ngắn hạn của khách hàng > Công ty Cổ phầnToàn Hải Vân,Công ty Cổ phầnToàn Hải Vân,Công ty trong cùng Tập đoàn,Bán hàng hóa và dịch vụ,1.205.544.303,1.205.544.303,,,1205544303.0,1205544303.0
Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Phải thu ngắn hạn của khách hàng > Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Công ty liên kết,Bán hàng hóa và dịch vụ,1.117.428.339,6.926.700.000,,,1117428339.0,6926700000.0
Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty Cổ phần Du lịch Thành Thành Công Lâm Đồng,Công ty trong cùng Tập đoàn,Bán hàng hóa và dịch vụ,625.205.481,6.000.000.000,,,625205481.0,6000000000.0
Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Phải thu ngắn hạn của khách hàng > Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Công ty TNHH MTV Kỹ thuật Xây dựng Toàn Thịnh Phát,Bên liên quan,Bán hàng hóa và dịch,126.510.549,291.510.549,,,126510549.0,291510549.0
Ông Bùi Tiến Thắng,Phải thu ngắn hạn của khách hàng > Ông Bùi Tiến Thắng,Ông Bùi Tiến Thắng,Phó chủ tịch HĐQT,Bán hàng hóa và dịch vụ,12.000.000,12.000.000,,,12000000.0,12000000.0
Công ty Cổ phầnNăng lượng Thành Thành Công,Phải thu ngắn hạn của khách hàng > Công ty Cổ phầnNăng lượng Thành Thành Công,Công ty Cổ phầnNăng lượng Thành Thành Công,Công ty trong cùng Tập đoàn,Bán hàng hóa và dịch vụ,2.090.000,-,,,2090000.0,
Công ty TNHH MTV Dịch vụ Bất động sản Minh Anh,Phải thu ngắn hạn của khách hàng > Công ty TNHH MTV Dịch vụ Bất động sản Minh Anh,Công ty TNHH MTV Dịch vụ Bất động sản Minh Anh,Bên liên quan,Bán hàng hóa và dịch vụ,-,208.500.000.000,,,,208500000000.0
Công ty Cổ phần Xuất nhập khẩu Bến Tre,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Xuất nhập khẩu Bến Tre,Công ty Cổ phần Xuất nhập khẩu Bến Tre,Bên liên quan,Bán hàng hóa và dịch vụ,-,4.355.475.053,,,,4355475053.0
Công ty Cổ phần Đầu tư và Thương mại Thuận Thiên,Phải thu ngắn hạn của khách hàng > Công ty Cổ phần Đầu tư và Thương mại Thuận Thiên,Công ty Cổ phần Đầu tư và Thương mại Thuận Thiên,Bên liên quan,Bán hàng hóa và dịch vụ,-,592.639.100,,,,592639100.0
Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Phải thu ngắn hạn của khách hàng > Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty trong cùng Tập đoàn,Bán hàng hóa và dịch vụ,-,537.921.000,,,,537921000.0
