row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty Cổ phầnMay Tiến Phát,Phải thu về cho vay ngắn hạn > Công ty Cổ phầnMay Tiến Phát,Công ty Cổ phầnMay Tiến Phát,Công tyliên kết,Cho vay,1.425.819.250.000,1.500.622.550.000,,,1425819250000.0,1500622550000.0
Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Phải thu về cho vay ngắn hạn > Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Công ty TNHH Sản xuất Xây dựng Dịch vụ Hoa Đồng,Đầu tư khác,Cho vay,287.919.200.000,14.328.000.000,,,287919200000.0,14328000000.0
Công ty Cổ phần Đầu tư Bất động sản 66,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Bất động sản 66,Công ty Cổ phần Đầu tư Bất động sản 66,Công tyliên kết,Cho vay,104.420.000.000,85.700.000.000,,,104420000000.0,85700000000.0
Công ty Cổ phần Thành Thành Nam,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Thành Thành Nam,Công ty Cổ phần Thành Thành Nam,Công ty trong cùng Tập đoàn,Cho vay,88.500.000.000,88.500.000.000,,,88500000000.0,88500000000.0
Công ty Cổ phần Toàn Hải Vân,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Toàn Hải Vân,Công ty Cổ phần Toàn Hải Vân,Công ty trong cùng Tập đoàn,Cho vay,48.000.000.000,13.663.095.887,,,48000000000.0,13663095887.0
Bà Huỳnh Thảo Linh,Phải thu về cho vay ngắn hạn > Bà Huỳnh Thảo Linh,Bà Huỳnh Thảo Linh,Bên liên quan,Cho vay,41.500.000.000,41.500.000.000,,,41500000000.0,41500000000.0
Công ty Cổ phần Đầu tư Phát triển Tân Sơn Nhất,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Phát triển Tân Sơn Nhất,Công ty Cổ phần Đầu tư Phát triển Tân Sơn Nhất,Bên liên quan,Cho vay,35.540.000.000,-,,,35540000000.0,
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông lớn,Cho vay,8.580.000.000,16.616.000.000,,,8580000000.0,16616000000.0
Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Bên liên quan,Cho vay,6.525.694.445,6.525.694.445,,,6525694445.0,6525694445.0
Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Phải thu về cho vay ngắn hạn > Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Công ty Cổ phần Khu Công nghiệp Thành Thành Công,Đầu tư khác,Cho vay,-,120.000.000.000,,,,120000000000.0
,,,,,2.046.804.144.445,1.887.455.340.332,,,2046804144445.0,1887455340332.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,,
Ông Trần Lam Thông,Phải thu về cho vay dài hạn > Ông Trần Lam Thông,Ông Trần Lam Thông,Bên liên quan,Cho vay,-,616.666.659,,,,616666659.0
