row_label_raw,row_label_full,Ông Nguyễn Thành Chương > Ông Lâm Minh Châu,Trường TBKT,bổ nhiệm ngày 1 tháng 7 năm 2020 > từ nhiệm ngày 29 tháng 6 năm 2020,numeric__Trường TBKT,numeric__bổ nhiệm ngày 1 tháng 7 năm 2020 > từ nhiệm ngày 29 tháng 6 năm 2020
Bà Trần Thiện Thanh Thủy,Bà Trần Thiện Thanh Thủy,Bà Trần Thiện Thanh Thủy,Thành viên,,,
Bà Lê Thị Xuân Đức,Bà Lê Thị Xuân Đức,Bà Lê Thị Xuân Đức,Thành viên,bổ nhiệm ngày 1 tháng 7 năm 2020,,
Bà Trần Yến Duyên,Bà Trần Yến Duyên,Bà Trần Yến Duyên,Thành viên,từ nhiệm ngày 29 tháng 6 năm 2020,,
