row_label_raw,row_label_full,Đầu tư vào công ty liên kết (Thuyết minh số 17.1) > Đầu tư dài hạn khác (Thuyết minh số 17.2),Số cuối năm > 157.583.462.793 > 572.486.587.584,VND Số đầu năm > 145.907.427.496 > 259.841.636.000,numeric__Số cuối năm > 157.583.462.793 > 572.486.587.584,numeric__VND Số đầu năm > 145.907.427.496 > 259.841.636.000
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,730.070.050.377,405.749.063.496,730070050377.0,405749063496.0
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(158.129.458),-,-158129458.0,
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,729.911.920.919,405.749.063.496,729911920919.0,405749063496.0
