row_label_raw,row_label_full,Các bên liên quan > Công ty Cổ phần Đầu tư Bất động sản TTC Land Long An,Mối quan hệ > Công ty con đến ngày 9 tháng 3 năm 2020,Nội dung nghiệp vụ > Thanh lý khoản đầu tư Góp vốn Vay Hoàn trả gốc vay Doanh thu từ dịch vụ bất động sản,Năm nay > 49.000.000.000 47.780.000.000 40.000.000.000 40.000.000.000 6.793.429.027,Năm trước > - - - - -,numeric__Mối quan hệ > Công ty con đến ngày 9 tháng 3 năm 2020,numeric__Nội dung nghiệp vụ > Thanh lý khoản đầu tư Góp vốn Vay Hoàn trả gốc vay Doanh thu từ dịch vụ bất động sản,numeric__Năm nay > 49.000.000.000 47.780.000.000 40.000.000.000 40.000.000.000 6.793.429.027,numeric__Năm trước > - - - - -
Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh,Bên liên quan,Nhận góp vốn hợp tác kinh doanh Cho vay Thu hồi cho vay Vay Chi phí lãi vay Cung cấp dịch vụ,244.500.000.000 12.350.000.000 12.350.000.000 2.000.000.000 146.438.356 2.309.091,- - - -,,,,
Ông Võ Quốc Khánh,Công ty Cổ phần Khai thác và Quản lý Khu Công nghiệp Đặng Huỳnh > Ông Võ Quốc Khánh,Ông Võ Quốc Khánh,Tổng giám đốc,Vay,100.000.000,-,,,100000000.0,
Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty trong cùng Tập đoàn,Cung cấp dịch vụ Vay Mua dịch vụ,2.459.048.777 600.000.000 -,3.089.311.746 - 2.927.937.954,,,,
Công ty Cổ phần Đầu tư Phát triển Tân Sơn Nhất,Công ty Cổ phần Đầu tư Phát triển Tân Sơn Nhất,Công ty Cổ phần Đầu tư Phát triển Tân Sơn Nhất,Bên liên quan,Thu nhập lãi Cho vay,3.894.292.053 3.355.000.000,3.592.295.338 4.085.000.000,,,,
