row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
,,,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,,,,,,,
31,31,31,Tiền thu từ vốn góp của cổ đông thiểu số,,-,22.400.000.000,,,,22400000000.0
33,33,33,Tiền thu từ đi vay,,2.756.215.102.978,2.250.084.657.663,,,2756215102978.0,2250084657663.0
34,34,34,Tiền chi trả nợ gốc vay,25,(2.227.360.978.186),(2.498.193.218.274),,25.0,-2227360978186.0,-2498193218274.0
35,35,35,Tiền chi trả nợ thuê tài chính,,-,(109.204.034),,,,-109204034.0
36,36,36,Cổ tức đã trả cho cổ đông thiểu số,26.3,(394.129.700),(1.500.000.000),,263.0,-394129700.0,-1500000000.0
40,40,40,Lưu chuyển tiền thuần từ (sử dụng vào) hoạt động tài chính,,528.459.995.092,(227.317.764.645),,,528459995092.0,-227317764645.0
50,50,50,Lưu chuyển tiền thuần trong năm,,124.884.232.569,(74.706.496.505),,,124884232569.0,-74706496505.0
60,60,60,Tiền và tương đương tiền đầu năm,,83.538.083.050,158.244.579.555,,,83538083050.0,158244579555.0
70,70,70,Tiền và tương đương tiền cuối năm,5,208.422.315.619,83.538.083.050,,5.0,208422315619.0,83538083050.0
