row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả khác (tiếp theo),Phải trả khác (tiếp theo),Phải trả khác (tiếp theo),Phải trả khác (tiếp theo),Phải trả khác (tiếp theo),Phải trả khác (tiếp theo),Phải trả khác (tiếp theo),,,,
Ông Trần Lam Thông,Phải trả khác (tiếp theo) > Ông Trần Lam Thông,Ông Trần Lam Thông,Bên liên quan,Thu hộ,13.789.678.034,17.386.797.674,,,13789678034.0,17386797674.0
Bà Nguyễn Thủy Vân,Phải trả khác (tiếp theo) > Bà Nguyễn Thủy Vân,Bà Nguyễn Thủy Vân,Chủ tịch,Đặt cọc mua căn hộ,2.870.049.285,-,,,2870049285.0,
Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,Phải trả khác (tiếp theo) > Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,Công ty Cổ phần Đầu tư Xây dựng Hùng Anh,Bên liên quan,Chi phí tư vấn,2.000.000.000,2.000.000.000,,,2000000000.0,2000000000.0
Ông Vũ Quốc Thái,Phải trả khác (tiếp theo) > Ông Vũ Quốc Thái,Ông Vũ Quốc Thái,Thành viên HĐQT,Khác,1.038.843.225,1.038.843.225,,,1038843225.0,1038843225.0
Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Phải trả khác (tiếp theo) > Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Công ty Cổ phần Đầu tư Địa ốc Kim Thành,Cổ đông,Lãi vay,734.542.465,-,,,734542465.0,
Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Phải trả khác (tiếp theo) > Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Công ty Cổ phần Đầu tư Kiến trúc Xây dựng Toàn Thịnh Phát,Bên liên quan,Chi phí tư vấn,88.851.000,9.552.124.154,,,88851000.0,9552124154.0
Công ty Cổ phần Đầu tư Thành Thành Công,Phải trả khác (tiếp theo) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,Cổ đông lớn,Lãi vay,87.739.726,-,,,87739726.0,
Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Phải trả khác (tiếp theo) > Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty TNHH MTV Tư vấn Sài Gòn Thương Tín,Công ty trong cùng Tập đoàn,Khác,32.621.918,-,,,32621918.0,
Công ty Cổ phần Du lịch Thành Thành Công,Phải trả khác (tiếp theo) > Công ty Cổ phần Du lịch Thành Thành Công,Công ty Cổ phần Du lịch Thành Thành Công,Công ty trong cùng Tập đoàn,Khác,21.369.863,-,,,21369863.0,
Công ty Cổ phần May Tiến Phát,Phải trả khác (tiếp theo) > Công ty Cổ phần May Tiến Phát,Công ty Cổ phần May Tiến Phát,Công ty liên kết,Tạm ứng mua bắt động sản đầu tư Khác,-,100.000.000,,,,100000000.0
Ông Lâm Minh Châu,Phải trả khác (tiếp theo) > Ông Lâm Minh Châu,Ông Lâm Minh Châu,Trường TBKT đến ngày 29 tháng 6 năm 2020,,-,20.379.742,,,,20379742.0
