row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dưvốn cổ phần,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thăng dưvốn cổ phần,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.392.226.750.000,333.257.781.211,134.240.908.893,24.890.292.522,621.355.873.192(271.336.280.000),4.505.971.605.818,3392226750000.0,333257781211.0,134240908893.0,24890292522.0,,4505971605818.0
Tăng vốn (*),Năm nay > Tăng vốn (*),Tăng vốn (*),271.336.280.000,-,-,-,621.355.873.192(271.336.280.000),-,271336280000.0,,,,,
Lợi nhuận thuầntrong năm,Năm nay > Lợi nhuận thuầntrong năm,Lợi nhuận thuầntrong năm,-,-,-,-,188.691.189.417,188.691.189.417,,,,,188691189417.0,188691189417.0
Trích quỹ đầu tưphát triển,Năm nay > Trích quỹ đầu tưphát triển,Trích quỹ đầu tưphát triển,-,-,10.399.011.793,-,(10.399.011.793),-,,,10399011793.0,,-10399011793.0,
"Trích quỹ khenthường, phúc lợi","Năm nay > Trích quỹ khenthường, phúc lợi","Trích quỹ khenthường, phúc lợi",-,-,-,-,(20.798.023.586),(20.798.023.586),,,,,-20798023586.0,-20798023586.0
Giao dịch vốn với cổđông không kiểmsoát của công ty connhưng không lâmmát quyền kiểmsoát,Năm nay > Giao dịch vốn với cổđông không kiểmsoát của công ty connhưng không lâmmát quyền kiểmsoát,Giao dịch vốn với cổđông không kiểmsoát của công ty connhưng không lâmmát quyền kiểmsoát,-,-,-,-,(6.302.550.738),(6.302.550.738),,,,,-6302550738.0,-6302550738.0
Chi phí hoạt độngcủa HĐQT,Năm nay > Chi phí hoạt độngcủa HĐQT,Chi phí hoạt độngcủa HĐQT,-,-,-,-,(4.102.609.572),(4.102.609.572),,,,,-4102609572.0,-4102609572.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.663.563.030.000,333.257.781.211,144.639.920.686,24.890.292.522,497.108.586.920,4.663.459.611.339,3663563030000.0,333257781211.0,144639920686.0,24890292522.0,497108586920.0,4663459611339.0
