row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,29.1,923.675.078.177,1.046.718.751.221,,291.0,923675078177.0,1046718751221.0
02,02,02,2. Các khoản giảm trừ doanh thu,29.1,(5.519.883.332),(16.227.382.424),,291.0,-5519883332.0,-16227382424.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,29.1,918.155.194.845,1.030.491.368.797,,291.0,918155194845.0,1030491368797.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,30,(1.225.874.976.003),(608.296.023.820),,30.0,-1225874976003.0,-608296023820.0
20,20,20,5. (Lỗ) lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,(307.719.781.158),422.195.344.977,,,-307719781158.0,422195344977.0
21,21,21,6. Doanh thu hoạt động tài chính,29.2,850.108.898.939,283.052.480.485,,292.0,850108898939.0,283052480485.0
22,22,22,7. Chi phí hoạt động tài chính Trong đó: Chi phí lãi vay,32,(254.290.963.358) (240.949.570.933),(175.051.332.989) (147.246.982.259),,32.0,,
23,23,23,7. Chi phí hoạt động tài chính Trong đó: Chi phí lãi vay,32,(254.290.963.358) (240.949.570.933),(175.051.332.989) (147.246.982.259),,32.0,,
24,24,24,8. Phần (lỗ) lãi trong công ty liên kết,17.1,(7.262.212.450),28.812.603.442,,171.0,-7262212450.0,28812603442.0
25,25,25,9. Chi phí bán hàng,31,(85.000.693.034),(54.215.378.527),,31.0,-85000693034.0,-54215378527.0
26,26,26,10. Chi phí quản lý doanh nghiệp,31,(93.282.416.274),(159.238.628.810),,31.0,-93282416274.0,-159238628810.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,102.552.832.665,345.555.088.578,,,102552832665.0,345555088578.0
31,31,31,12. Thu nhập khác,33,108.193.586.132,16.612.210.919,,33.0,108193586132.0,16612210919.0
32,32,32,13. Chi phí khác,33,(6.198.509.723),(15.636.254.787),,33.0,-6198509723.0,-15636254787.0
40,40,40,14. Lợi nhuận khác,,101.995.076.409,975.956.132,,,101995076409.0,975956132.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế TNDN,,204.547.909.074,346.531.044.710,,,204547909074.0,346531044710.0
51,51,51,16. Thu nhập (chi phí) thuế TNDN hiện hành,34.1,2.797.744.802,(77.532.430.714),,341.0,2797744802.0,-77532430714.0
52,52,52,17. (Chi phí) thu nhập thuế TNDN hoãn lại,34.3,(13.047.079.346),8.979.561.219,,343.0,-13047079346.0,8979561219.0
