row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,44.729.227.060.000,3.211.560.416.270,891.907.691.966,17.118.278.967.687,65.950.974.135.923,44729227060000.0,3211560416270.0,891907691966.0,17118278967687.0,65950974135923.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,5.460.660.998.365,5.460.660.998.365,,,,5460660998365.0,5460660998365.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,13.418.629.940.000,-,-,(13.418.629.940.000),-,13418629940000.0,,,-13418629940000.0,
Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,-,-,-,(2.236.461.353.000),(2.236.461.353.000),,,,-2236461353000.0,-2236461353000.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,(761.000.000.000),(761.000.000.000),,,,-761000000000.0,-761000000000.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,(88.766.869.906),-,(88.766.869.906),,,-88766869906.0,,-88766869906.0
Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,58.147.857.000.000,3.211.560.416.270,803.140.822.060,6.162.848.673.052,68.325.406.911.382,58147857000000.0,3211560416270.0,803140822060.0,6162848673052.0,68325406911382.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,2.487.832.215.801,2.487.832.215.801,,,,2487832215801.0,2487832215801.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,(12.143.949.395),-,(12.143.949.395),,,-12143949395.0,,-12143949395.0
Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,Số dư tại ngày 31 tháng 12 năm 2023,58.147.857.000.000,3.211.560.416.270,790.996.872.665,8.650.680.888.853,70.801.095.177.788,58147857000000.0,3211560416270.0,790996872665.0,8650680888853.0,70801095177788.0
