row_label_raw,row_label_full,13,Chi phí trả trước,Chi phí trả trước_1,Chi phí trả trước_2,Chi phí trả trước_3,Chi phí trả trước_4,numeric__Chi phí trả trước,numeric__Chi phí trả trước_1,numeric__Chi phí trả trước_2,numeric__Chi phí trả trước_3,numeric__Chi phí trả trước_4
13.1,13.1,13.1,Chi phí trả trước ngắn hạn,,,,,,,,,
13.1,13.1,13.1,Chi phí trả trước ngắn hạn,31/12/2023VND,1/1/2023VND,,,,,,,
13.1,13.1 > 13.1,13.1,Chi phí quảng cáo,7.956.026.000,9.191.040.230,,,,7956026000.0,9191040230.0,,
13.1,13.1 > 13.1,13.1,Chi phí thuê văn phòng,15.370.685.679,10.062.163.636,,,,15370685679.0,10062163636.0,,
13.1,13.1 > 13.1,13.1,Chi phí đàn xếp khoản vay,-,5.416.434.139,,,,,5416434139.0,,
13.1,13.1 > 13.1,13.1,Chi phí khác,3.273.251.902,675.799.744,,,,3273251902.0,675799744.0,,
13.1,13.1 > 13.1,13.1,,26.599.963.581,25.345.437.749,,,,26599963581.0,25345437749.0,,
13.2,13.2,13.2,Chi phí trả trước dài hạn,,,,,,,,,
13.2,13.2,13.2,Chi phí trả trước dài hạn,Chi phí sửa chữa văn phòng VND,Công cụ và dụng cụ VND,Chi phí làm thủ tục vay VND,Chi phí khác VND,,,,,
13.2,13.2 > 13.2,13.2,Số dư đầu năm,3.028.766.493,1.033.181.302,13.154.346.200,571.232.312,,3028766493.0,1033181302.0,13154346200.0,571232312.0
13.2,13.2 > 13.2,13.2,Tăng trong năm,1.267.164.500,47.546.000,-,126.000.000,,1267164500.0,47546000.0,,126000000.0
13.2,13.2 > 13.2,13.2,Phân bổ trong năm,(2.048.808.815),(364.158.348),(13.154.346.200),(516.045.816),,-2048808815.0,-364158348.0,-13154346200.0,-516045816.0
13.2,13.2 > 13.2,13.2,Số dư cuối năm,2.247.122.178,716.568.954,-,181.186.496,,2247122178.0,716568954.0,,181186496.0
