row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.884.450.941,6.578.681.745,80.632.554.417,79.797.810.268,173.893.497.371,6884450941.0,6578681745.0,80632554417.0,79797810268.0,173893497371.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,-,19.029.736.986,19.029.736.986,,,,19029736986.0,19029736986.0
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,-,(615.955.900),(565.202.954),(1.577.791.739),(2.758.950.593),,-615955900.0,-565202954.0,-1577791739.0,-2758950593.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.884.450.941,5.962.725.845,80.067.351.463,97.249.755.515,190.164.283.764,6884450941.0,5962725845.0,80067351463.0,97249755515.0,190164283764.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.342.594.855,5.435.753.490,36.701.036.419,37.153.478.801,82.632.863.565,3342594855.0,5435753490.0,36701036419.0,37153478801.0,82632863565.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,688.445.976,245.818.368,10.141.488.900,19.672.850.959,30.748.604.203,688445976.0,245818368.0,10141488900.0,19672850959.0,30748604203.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,-,(615.955.900),(565.202.954),(1.569.617.421),(2.750.776.275),,-615955900.0,-565202954.0,-1569617421.0,-2750776275.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.031.040.831,5.065.615.958,46.277.322.365,55.256.712.339,110.630.691.493,4031040831.0,5065615958.0,46277322365.0,55256712339.0,110630691493.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.541.856.086,1.142.928.255,43.931.517.998,42.644.331.467,91.260.633.806,3541856086.0,1142928255.0,43931517998.0,42644331467.0,91260633806.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.853.410.110,897.109.887,33.790.029.098,41.993.043.176,79.533.592.271,2853410110.0,897109887.0,33790029098.0,41993043176.0,79533592271.0
