row_label_raw,row_label_full,STT,Tên công ty con,Trụ sở chính,Tỷ lệ phần sở hữu trực tiếp (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,numeric__Tên công ty con,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu trực tiếp (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
1.,1.,1.,Công ty Cổ phần Dây cáp Điện Việt Nam (“CADIVI”) (i),Thành phố Hồ Chí Minh,"97,09%","97,09%",Sản xuất kinh doanh dây và cấp điện,,,0.9709,0.9709,
2.,2.,2.,Công ty Cổ phần Chế tạo Điện cơ Hà Nội (“HEM”) (ii),Hà Nội,"76,70%","76,70%","Sản xuất, chế tạo, sửa chữa, kinh doanh động cơ điện và thiết bị điện",,,0.767,0.767,
3.,3.,3.,Công ty Dây đồng Việt Nam CFT (“CFT”),Đồng Nai,"100,00%","100,00%","Sản xuất nguyên liệu chính trong ngành sản xuất dây, cấp điện, dây điện tử và cấp viễn thông",,,1.0,1.0,
4.,4.,4.,Công ty Cổ phần Thiết bị Điện (“Thibidi”),Đồng Nai,"98,07%","98,07%","Sản xuất, chế tạo, kinh doanh thiết bị điện",,,0.9806999999999999,0.9806999999999999,
