row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thiết bị điện,"Sản xuất, kinh doanh năng lượng và nước sạch","Bán và cho thuê bất động sản, hạ tầng khu công nghiệp, kinh doanh khách sạn",Sản xuất và kinh doanh vật liệu xây dựng,Khác,Tổng cộng,numeric__Sản xuất và kinh doanh thiết bị điện,"numeric__Sản xuất, kinh doanh năng lượng và nước sạch","numeric__Bán và cho thuê bất động sản, hạ tầng khu công nghiệp, kinh doanh khách sạn",numeric__Sản xuất và kinh doanh vật liệu xây dựng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,20.712.330.605.132,1.147.575.023.868,4.152.991.751.061,7.691.882.084.104,47.525.948.808,33.752.305.412.973,20712330605132.0,1147575023868.0,4152991751061.0,7691882084104.0,47525948808.0,33752305412973.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(17.788.117.297.795),(780.547.049.615),(1.877.004.295.675),(6.520.826.357.196),(23.624.882.557),(26.990.119.882.838),-17788117297795.0,-780547049615.0,-1877004295675.0,-6520826357196.0,-23624882557.0,-26990119882838.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (Chi phí) không phân bổ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (Chi phí) không phân bổ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (Chi phí) không phân bổ,2.924.213.307.337,367.027.974.253,2.275.987.455.386,1.171.055.726.908,23.901.066.251,6.762.185.530.135,2924213307337.0,367027974253.0,2275987455386.0,1171055726908.0,23901066251.0,6762185530135.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,(3.028.930.097.181),,,,,,-3028930097181.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,3.733.255.432.954,,,,,,3733255432954.0
Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,,,,,,69.189.621.843,,,,,,69189621843.0
Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,(189.611.756.440),,,,,,-189611756440.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,3.612.833.298.357,,,,,,3612833298357.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,943.502.829.663,,,,,,943502829663.0
,,,,,,,,2.669.330.468.694,,,,,,2669330468694.0
