row_label_raw,row_label_full,Bên cho vay,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Bên cho vay,Bên cho vay,Bên cho vay,VND,VND,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Bên cho vay > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,4.563.430.336.609,542.492.485.925,4563430336609.0,542492485925.0
Ngân hàng TMCP Ngoại thương Việt Nam,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,3.663.472.049.335,2.541.281.096.440,3663472049335.0,2541281096440.0
Ngân hàng TMCP Công Thương Việt Nam,Bên cho vay > Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,3.109.348.751.642,2.509.247.687.050,3109348751642.0,2509247687050.0
Ngân hàng TMCP Kỹ thương Việt Nam,Bên cho vay > Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,2.360.000.000.000,665.000.000.000,2360000000000.0,665000000000.0
"The Hongkong and Shanghai Banking Corporation Limited, Singapore Branch","Bên cho vay > The Hongkong and Shanghai Banking Corporation Limited, Singapore Branch","The Hongkong and Shanghai Banking Corporation Limited, Singapore Branch",1.681.133.235.700,-,1681133235700.0,
Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Bên cho vay > Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,700.000.000.000,-,700000000000.0,
Ngân hàng Union Bank of Taiwan,Bên cho vay > Ngân hàng Union Bank of Taiwan,Ngân hàng Union Bank of Taiwan,488.000.000.000,488.000.000.000,488000000000.0,488000000000.0
Ngân hàng Cathay United Bank,Bên cho vay > Ngân hàng Cathay United Bank,Ngân hàng Cathay United Bank,488.000.000.000,166.600.000.000,488000000000.0,166600000000.0
Ngân hàng TNHH MTV HSBC Việt Nam,Bên cho vay > Ngân hàng TNHH MTV HSBC Việt Nam,Ngân hàng TNHH MTV HSBC Việt Nam,400.000.000.000,400.000.000.000,400000000000.0,400000000000.0
Landesbank Baden-Württemberg,Bên cho vay > Landesbank Baden-Württemberg,Landesbank Baden-Württemberg,357.956.164.300,-,357956164300.0,
Ngân hàng TNHH MTV Standard Chartered Việt Nam,Bên cho vay > Ngân hàng TNHH MTV Standard Chartered Việt Nam,Ngân hàng TNHH MTV Standard Chartered Việt Nam,82.432.824.687,114.879.704.118,82432824687.0,114879704118.0
Ngân hàng TMCP Tiên Phong,Bên cho vay > Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,79.789.473.683,94.199.373.081,79789473683.0,94199373081.0
Công ty TNHH cho thuê tài chính Quốc tế Việt Nam,Bên cho vay > Công ty TNHH cho thuê tài chính Quốc tế Việt Nam,Công ty TNHH cho thuê tài chính Quốc tế Việt Nam,40.558.612.662,28.822.524.451,40558612662.0,28822524451.0
Công ty TNHH MTV Cho thuê Tài chính - Ngân hàng TMCP Công thương Việt Nam,Bên cho vay > Công ty TNHH MTV Cho thuê Tài chính - Ngân hàng TMCP Công thương Việt Nam,Công ty TNHH MTV Cho thuê Tài chính - Ngân hàng TMCP Công thương Việt Nam,37.708.879.996,78.081.622.812,37708879996.0,78081622812.0
Công ty TNHH MTV Cho thuê Tài chính - Ngân hàng TMCP Ngoại thương Việt Nam,Bên cho vay > Công ty TNHH MTV Cho thuê Tài chính - Ngân hàng TMCP Ngoại thương Việt Nam,Công ty TNHH MTV Cho thuê Tài chính - Ngân hàng TMCP Ngoại thương Việt Nam,21.959.046.718,16.896.912.722,21959046718.0,16896912722.0
Ngân hàng TNHH MTV Shinhan Việt Nam,Bên cho vay > Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,17.964.072.517,94.902.998.858,17964072517.0,94902998858.0
Ngân hàng TNHH MTV Hong Leong Việt Nam,Bên cho vay > Ngân hàng TNHH MTV Hong Leong Việt Nam,Ngân hàng TNHH MTV Hong Leong Việt Nam,10.774.931.512,45.793.459.030,10774931512.0,45793459030.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Bên cho vay > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,2.071.721.948,2.492.492.700,2071721948.0,2492492700.0
Công ty cho thuê tài chính TNHH BIDV-Sumi Trust,Bên cho vay > Công ty cho thuê tài chính TNHH BIDV-Sumi Trust,Công ty cho thuê tài chính TNHH BIDV-Sumi Trust,483.168.431,401.166.677,483168431.0,401166677.0
Ngân hàng Phát triển Việt Nam,Bên cho vay > Ngân hàng Phát triển Việt Nam,Ngân hàng Phát triển Việt Nam,-,416.704.823.000,,416704823000.0
Ngân hàng TMCP Việt Nam Thịnh Vương,Bên cho vay > Ngân hàng TMCP Việt Nam Thịnh Vương,Ngân hàng TMCP Việt Nam Thịnh Vương,-,242.520.000,,242520000.0
Vay cá nhân và đối tượng khác,Bên cho vay > Vay cá nhân và đối tượng khác,Vay cá nhân và đối tượng khác,48.437.175.000,57.422.878.094,48437175000.0,57422878094.0
,,,18.153.520.444.740,8.263.461.744.958,18153520444740.0,8263461744958.0
Trong đó,Trong đó,Trong đó,Trong đó,Trong đó,,
- Vay dài hạn đến hạn trả,Trong đó > - Vay dài hạn đến hạn trả,- Vay dài hạn đến hạn trả,2.624.282.678.230,1.093.320.564.827,2624282678230.0,1093320564827.0
