row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số Thuyết minh,Mã số Thuyết minh_1,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,35,39.908.172.858.988,34.060.209.909.943,,1.0,35.0,39908172858988.0,34060209909943.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,35,395.644.708.035,307.904.496.970,,2.0,35.0,395644708035.0,307904496970.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,35,39.512.528.150.953,33.752.305.412.973,,10.0,35.0,39512528150953.0,33752305412973.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,36,31.095.988.159.301,26.990.119.882.838,,11.0,36.0,31095988159301.0,26990119882838.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,8.416.539.991.652,6.762.185.530.135,,20.0,,8416539991652.0,6762185530135.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,38,1.256.994.690.064,1.500.290.822.832,,21.0,38.0,1256994690064.0,1500290822832.0
7.,7.,7.,Chi phí tài chính,22,39,1.770.034.468.774,1.689.902.579.272,,22.0,39.0,1770034468774.0,1689902579272.0
,,,- Trong đó: Chi phí lãi vay,23,,1.197.930.304.353,1.077.046.187.606,,23.0,,1197930304353.0,1077046187606.0
8.,8.,8.,Phần lãi trong công ty liên kết,24,20,131.868.584.125,37.000.292.212,,24.0,20.0,131868584125.0,37000292212.0
9.,9.,9.,Chi phí bán hàng,25,40,1.428.321.098.446,1.278.637.559.756,,25.0,40.0,1428321098446.0,1278637559756.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,40,2.067.782.053.064,1.750.292.537.425,,26.0,40.0,2067782053064.0,1750292537425.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,4.539.265.645.557,3.580.643.968.726,,30.0,,4539265645557.0,3580643968726.0
12.,12.,12.,Thu nhập khác,31,41,155.786.678.260,152.427.320.788,,31.0,41.0,155786678260.0,152427320788.0
13.,13.,13.,Chi phí khác,32,,74.061.805.832,120.237.991.157,,32.0,,74061805832.0,120237991157.0
14.,14.,14.,Lợi nhuận khác (40=31-32),40,,81.724.872.428,32.189.329.631,,40.0,,81724872428.0,32189329631.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,4.620.990.517.985,3.612.833.298.357,,50.0,,4620990517985.0,3612833298357.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,42,1.588.711.637.272,953.319.064.018,,51.0,42.0,1588711637272.0,953319064018.0
17.,17.,17.,Chi phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,42,76.156.552.378,(9.816.234.355),,52.0,42.0,76156552378.0,-9816234355.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,2.956.122.328.335,2.669.330.468.694,,60.0,,2956122328335.0,2669330468694.0
,,,Trong đó:,,,,,,,,,
,,,Lợi nhuận sau thuế của Công ty mẹ,61,,1.477.891.529.178,1.631.297.943.916,,61.0,,1477891529178.0,1631297943916.0
,,,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,1.478.230.799.157,1.038.032.524.778,,62.0,,1478230799157.0,1038032524778.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,43,1.638,1.747,,70.0,43.0,1638.0,1747.0
