row_label_raw,row_label_full,STT,Tên công ty liên kết,Trụ sở chính,Tỷ lệ phần sở hữu trực tiếp (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,numeric__Tên công ty liên kết,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu trực tiếp (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
1.,1.,1.,Công ty TNHH S.A.S - CTAMAD,Hà Nội,"35,00%","35,00%",Kính doanh khách sạn và cho thuê văn phòng,,,0.35,0.35,
2.,2.,2.,"Công ty Cổ phần Chế tạo Điện Cơ HEM (""HEM EMM"")",Hà Nội,"20,00%","20,00%","Sản xuất mô tơ, máy phát, biến thế điện, thiết bị phân phối và điều khiển điện",,,0.2,0.2,
(iii),(iii),(iii),Công ty TNHH Phát điện GELEX:,Công ty TNHH Phát điện GELEX:,Công ty TNHH Phát điện GELEX:,Công ty TNHH Phát điện GELEX:,Công ty TNHH Phát điện GELEX:,,,,,
STT,STT,STT,Tên công ty liên kết,Trụ sở chính,Tỷ lệ phần sở hữu trực tiếp (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,,,,,
1.,STT > 1.,1.,"Công ty TNHH Năng lượng GELEX Ninh Thuận (""GELEX Ninh Thuận"")",Khánh Hòa (trước đầy là Ninh Thuận),"20,00%","20,00%","Sản xuất, truyền tải và phân phối điện mặt trời",,,0.2,0.2,
(iv),(iv),(iv),Công ty Cổ phần Mua bán điện GELEX:,Công ty Cổ phần Mua bán điện GELEX:,Công ty Cổ phần Mua bán điện GELEX:,Công ty Cổ phần Mua bán điện GELEX:,Công ty Cổ phần Mua bán điện GELEX:,,,,,
STT,STT,STT,Tên công ty con,Trụ sở chính,Tỷ lệ phần sở hữu trực tiếp (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,,,,,
1.,STT > 1.,1.,Công ty Cổ phần Mua bán điện GELEX Hưng Yên,Hà Nội,"70,82%","70,82%",Truyền tải và phân phối điện,,,0.7081999999999999,0.7081999999999999,
1.3,1.3,1.3,Công ty TNHH Đầu tư GELEX,Công ty TNHH Đầu tư GELEX,Công ty TNHH Đầu tư GELEX,Công ty TNHH Đầu tư GELEX,Công ty TNHH Đầu tư GELEX,,,,,
STT,STT,STT,Tên công ty con,Trụ sở chính,Tỷ lệ phần sở hữu trực tiếp (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,,,,,
1.,STT > 1.,1.,Công ty TNHH Felicitas,Hà Nội,"100,00%","100,00%",Hoạt động tư vấn đầu tư,,,1.0,1.0,
