row_label_raw,row_label_full,STT,Tên công ty con/công ty liên doanh/Công ty liên kết,Trụ sở chính,Tỷ lệ phần sở hữu (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,numeric__Tên công ty con/công ty liên doanh/Công ty liên kết,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
16.,16.,16.,Công ty ViMariel - CTCP,Cuba,"99,94%","99,95%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.9994,0.9995,
17.,17.,17.,Công ty TNHH Kính nổi siêu trắng Phú Mỹ,TP. Hồ Chí Minh (trước đây là Bà Rịa – Vũng Tàu),"65,00%","65,00%",Sản xuất các sản phẩm kính,,,0.65,0.65,
18.,18.,18.,Công ty Cổ phần Viglacera Thái Nguyên,Thái Nguyên,"51,00%","51,00%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.51,0.51,
19.,19.,19.,Công ty TNHH Kính nổi Việt Nam,Bắc Ninh,"100,00%","100,00%",Sản xuất các sản phẩm kính,,,1.0,1.0,
20.,20.,20.,Công ty Cổ phần Viglacera Hưng Yên,Hưng Yên,"51,00%","51,00%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.51,0.51,
21.,21.,21.,Công ty Cổ phần Đầu tư VIHOCE Tiên Dương,Hà Nội,"55,00%","55,00%",Đầu tư và kinh doanh bất động sản,,,0.55,0.55,
22.,22.,22.,Công ty Cổ phần Vigalcera Phú Thọ,Phú Thọ,"52,02%","51,00%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.5202,0.51,
23.,23.,23.,Công ty Cổ phần Kinh doanh Gạch ốp lát Viglacera (*),Hà Nội,"51,02%","100,00%",Kinh doanh các sản phẩm gạch ốp lát,,,0.5102,1.0,
,,,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,
1.,1.,1.,Công ty SANVIG - CTCP,Cuba,"21,43%","50,00%",Sản xuất và kinh doanh gạch ốp lát,,,0.2143,0.5,
,,,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,Công ty liên kết trực tiếp,,,,,
1.,1.,1.,Công ty Cổ phần Gạch ngói Từ Sơn,Bắc Ninh,"24,93%","24,93%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.2493,0.2493,
2.,2.,2.,Công ty Cổ phần Gốm Xây dựng Yên Hưng,Quảng Ninh,"26,00%","26,00%",Sản xuất và kinh doanh gạch ngói đất sét nung,,,0.26,0.26,
3.,3.,3.,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Hà Nội,"25,00%","25,00%",Kinh doanh xuất nhập khẩu,,,0.25,0.25,
4.,4.,4.,Công ty Cổ phần Gạch chịu lửa Cầu Đường Công ty liên kết gián tiếp,Hà Nội,"25,00%","25,00%",Sản xuất và kinh doanh gạch chịu lửa,,,0.25,0.25,
1.,1.,1.,Công ty Magno GMBH,Cộng hòa Liên bang Đức,"22,87%","30,00%",Thương mại,,,0.22870000000000001,0.3,
2.,2.,2.,Công ty Cổ phần Vinafacade,Hà Nội,"18,02%","20,86%","Kinh doanh, lắp dụng kính xây dựng",,,0.1802,0.2086,
3.,3.,3.,Công ty Cổ phần Viglacera Hạ Long II,Quảng Ninh,"20,19%","40,00%",Sản xuất và kinh doanh gạch ngói,,,0.20190000000000002,0.4,
4.,4.,4.,Công ty Cổ phần Viglacera Đông Triều,Quảng Ninh,"20,19%","40,00%",Sản xuất và kinh doanh gạch ngói,,,0.20190000000000002,0.4,
