row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,13.256.912.066.151,10.537.142.747.481,704.632.528.997,134.875.575.498,12.932.999.532,24.646.495.917.659,13256912066151.0,10537142747481.0,704632528997.0,134875575498.0,12932999532.0,24646495917659.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,664.313.645.177,278.171.387.555,95.318.022.002,10.232.605.539,-,1.048.035.660.273,664313645177.0,278171387555.0,95318022002.0,10232605539.0,,1048035660273.0
Tăng từ tài sản cố định thuê tài chính,NGUYÊN GIÁ > Tăng từ tài sản cố định thuê tài chính,Tăng từ tài sản cố định thuê tài chính,-,102.875.669.897,7.913.202.112,203.860.000,-,110.992.732.009,,102875669897.0,7913202112.0,203860000.0,,110992732009.0
Chuyển từ bất động sản đầu tư,NGUYÊN GIÁ > Chuyển từ bất động sản đầu tư,Chuyển từ bất động sản đầu tư,145.960.230.863,2.610.526.958,-,11.374.914.397,-,159.945.672.218,145960230863.0,2610526958.0,,11374914397.0,,159945672218.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,310.741.946.556,1.271.496.511.626,7.109.755.455,1.607.990.985,-,1.590.956.204.622,310741946556.0,1271496511626.0,7109755455.0,1607990985.0,,1590956204622.0
Giảm do thoái vốn công ty con,NGUYÊN GIÁ > Giảm do thoái vốn công ty con,Giảm do thoái vốn công ty con,(956.537.080.850),(694.246.459.339),(4.348.568.753),(507.286.542),-,(1.655.639.395.484),-956537080850.0,-694246459339.0,-4348568753.0,-507286542.0,,-1655639395484.0
Phân loại lại sang bất động sản đầu tư,NGUYÊN GIÁ > Phân loại lại sang bất động sản đầu tư,Phân loại lại sang bất động sản đầu tư,(4.865.956.277),(548.162.594),-,(2.310.860.849),-,(7.724.979.720),-4865956277.0,-548162594.0,,-2310860849.0,,-7724979720.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(94.691.330.937),(150.287.396.360),(16.853.787.657),(7.513.318.485),-,(269.345.833.439),-94691330937.0,-150287396360.0,-16853787657.0,-7513318485.0,,-269345833439.0
Giảm do quyết toán,NGUYÊN GIÁ > Giảm do quyết toán,Giảm do quyết toán,(13.413.488.426),-,-,-,-,(13.413.488.426),-13413488426.0,,,,,-13413488426.0
"Tăng, giảm khác","NGUYÊN GIÁ > Tăng, giảm khác","Tăng, giảm khác",77.760.695,(3.874.102.328),519.657.285,-,-,(3.276.684.348),77760695.0,-3874102328.0,519657285.0,,,-3276684348.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,13.308.497.792.952,11.343.340.722.896,794.290.809.441,147.963.480.543,12.932.999.532,25.607.025.805.364,13308497792952.0,11343340722896.0,794290809441.0,147963480543.0,12932999532.0,25607025805364.0
