row_label_raw,row_label_full,col_0,Chênh lệch tỷ giáhối đoái dochuyển đổi báocảo bằng ngoại tệ,Chênh lệch tỷ giáhối đoái dochuyển đổi báocảo bằng ngoại tệ_1,Góp vốn/Mua trong năm,Tăng do hợp nhất kinh doanh,"Phần lợi nhuận/(lỗ) từ công ty liên doanh, liên kết",Phân phối lợi nhuận và điều chỉnh khác,Chuyển thành công ty con,Số cuối năm,numeric__Chênh lệch tỷ giáhối đoái dochuyển đổi báocảo bằng ngoại tệ,numeric__Chênh lệch tỷ giáhối đoái dochuyển đổi báocảo bằng ngoại tệ_1,numeric__Góp vốn/Mua trong năm,numeric__Tăng do hợp nhất kinh doanh,"numeric__Phần lợi nhuận/(lỗ) từ công ty liên doanh, liên kết",numeric__Phân phối lợi nhuận và điều chỉnh khác,numeric__Chuyển thành công ty con,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,VND,,VND,,,,,,,,
Công ty cố phần Titan Hải Phòng,Công ty cố phần Titan Hải Phòng,Công ty cố phần Titan Hải Phòng,-,-,239.541.400.000,-,3.951.587.940,-,(243.492.987.940),-,,,239541400000.0,,3951587940.0,,-243492987940.0,
Công ty Cổ phần Thiết bị Nội ngoại thất Dầu khí (*),Công ty Cổ phần Thiết bị Nội ngoại thất Dầu khí (*),Công ty Cổ phần Thiết bị Nội ngoại thất Dầu khí (*),-,-,-,-,-,-,-,-,,,,,,,,
Công ty Cổ phần Gạch chịu Lừa Cầu Đường (*),Công ty Cổ phần Gạch chịu Lừa Cầu Đường (*),Công ty Cổ phần Gạch chịu Lừa Cầu Đường (*),-,-,-,-,-,-,-,-,,,,,,,,
Công ty Cổ phần Gốm xây dựng Yên Hưng (*),Công ty Cổ phần Gốm xây dựng Yên Hưng (*),Công ty Cổ phần Gốm xây dựng Yên Hưng (*),-,-,-,-,-,-,-,-,,,,,,,,
,,,2.855.791.356.282,11.154.694.779,366.014.968.660,278.246.770.742,131.868.584.125,(89.357.316.026),(606.560.424.528),2.947.158.634.034,2855791356282.0,11154694779.0,366014968660.0,278246770742.0,131868584125.0,-89357316026.0,-606560424528.0,2947158634034.0
