row_label_raw,row_label_full,col_0,Lợi thể thuống mạiVND,numeric__Lợi thể thuống mạiVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.077.668.435.830,2077668435830.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,126.287.420.099,126287420099.0
Giảm do thoái vốn tại Công ty con,NGUYÊN GIÁ > Giảm do thoái vốn tại Công ty con,Giảm do thoái vốn tại Công ty con,(70.494.847.878),-70494847878.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.133.461.008.051,2133461008051.0
PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,PHÂN BỔ LỦY KẾ,
Số dư đầu năm,PHÂN BỔ LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.019.695.300.266,1019695300266.0
Phân bổ trong năm,PHÂN BỔ LỦY KẾ > Phân bổ trong năm,Phân bổ trong năm,216.194.907.031,216194907031.0
Giảm do thoái vốn tại Công ty con,PHÂN BỔ LỦY KẾ > Giảm do thoái vốn tại Công ty con,Giảm do thoái vốn tại Công ty con,(61.682.991.895),-61682991895.0
Số dư cuối năm,PHÂN BỔ LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.174.207.215.402,1174207215402.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.057.973.135.564,1057973135564.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,959.253.792.649,959253792649.0
