row_label_raw,row_label_full,col_0,Số đầu năm,Số đầu năm_1,Số đầu năm_2,Số đầu năm_3,Trong năm,Trong năm_1,Trong năm_2,Số cuối năm,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2,numeric__Số đầu năm_3,numeric__Trong năm,numeric__Trong năm_1,numeric__Trong năm_2,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
,,,Giá trị,Số có khả năng trả nợ,Tăng do hợp nhất kinh doanh,Tăng,Giám,Giám do thoéi vốn công ty con,Giá trị,Số có khả năng trả nợ,,,,,,,,
Vay và nợ thuê tài chính dài hạn (i),Vay và nợ thuê tài chính dài hạn (i),Vay và nợ thuê tài chính dài hạn (i),7.170.141.180.131,7.170.141.180.131,2.239.700.000.000,9.482.337.761.968,3.105.806.352.589,257.134.823.000,15.529.237.766.510,15.529.237.766.510,7170141180131.0,7170141180131.0,2239700000000.0,9482337761968.0,3105806352589.0,257134823000.0,15529237766510.0,15529237766510.0
Trái phiếu phát hành (ii),Trái phiếu phát hành (ii),Trái phiếu phát hành (ii),1.136.440.079.169,1.136.440.079.169,-,2.711.984.172,-,-,1.139.152.063.341,1.139.152.063.341,1136440079169.0,1136440079169.0,,2711984172.0,,,1139152063341.0,1139152063341.0
,,,8.306.581.259.300,8.306.581.259.300,2.239.700.000.000,9.485.049.746.140,3.105.806.352.589,257.134.823.000,16.668.389.829.851,16.668.389.829.851,8306581259300.0,8306581259300.0,2239700000000.0,9485049746140.0,3105806352589.0,257134823000.0,16668389829851.0,16668389829851.0
