row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Cho vay,Cho vay,Cho vay,Cho vay,Cho vay,,
Công ty TNHH Công Nghiệp Titan Corporation 3 (Bắc Ninh),Cho vay > Công ty TNHH Công Nghiệp Titan Corporation 3 (Bắc Ninh),Công ty TNHH Công Nghiệp Titan Corporation 3 (Bắc Ninh),55.707.728.448,70.000.000.000,55707728448.0,70000000000.0
Công ty Cổ phần Chế tạo diện cơ HEM,Cho vay > Công ty Cổ phần Chế tạo diện cơ HEM,Công ty Cổ phần Chế tạo diện cơ HEM,40.000.000.000,-,40000000000.0,
Công ty TNHH Công Nghiệp Titan (Quảng Ninh),Cho vay > Công ty TNHH Công Nghiệp Titan (Quảng Ninh),Công ty TNHH Công Nghiệp Titan (Quảng Ninh),43.818.154.401,-,43818154401.0,
Công ty Cổ phần Đầu tư' Khu công nghiệp Dầu khí Long Sơn (*),Cho vay > Công ty Cổ phần Đầu tư' Khu công nghiệp Dầu khí Long Sơn (*),Công ty Cổ phần Đầu tư' Khu công nghiệp Dầu khí Long Sơn (*),23.045.000.000,-,23045000000.0,
Công ty TNHH Công Nghiệp Titan (Hưng Yên),Cho vay > Công ty TNHH Công Nghiệp Titan (Hưng Yên),Công ty TNHH Công Nghiệp Titan (Hưng Yên),-,144.226.577.787,,144226577787.0
Công ty TNHH Công Nghiệp Titan Corporation 2 (Bắc Ninh) (*),Cho vay > Công ty TNHH Công Nghiệp Titan Corporation 2 (Bắc Ninh) (*),Công ty TNHH Công Nghiệp Titan Corporation 2 (Bắc Ninh) (*),-,25.703.887.125,,25703887125.0
,,,162.570.882.849,239.930.464.912,162570882849.0,239930464912.0
Thu hồi khoản cho vay,Thu hồi khoản cho vay,Thu hồi khoản cho vay,Thu hồi khoản cho vay,Thu hồi khoản cho vay,,
Công ty TNHH Năng lượng GELEX Ninh Thuận,Thu hồi khoản cho vay > Công ty TNHH Năng lượng GELEX Ninh Thuận,Công ty TNHH Năng lượng GELEX Ninh Thuận,120.625.000.000,44.250.000.000,120625000000.0,44250000000.0
Công ty TNHH Công Nghiệp Titan (Hưng Yên) (*),Thu hồi khoản cho vay > Công ty TNHH Công Nghiệp Titan (Hưng Yên) (*),Công ty TNHH Công Nghiệp Titan (Hưng Yên) (*),55.707.728.448,-,55707728448.0,
Công ty TNHH Công Nghiệp Titan Corporation 2 (Bắc Ninh) (*),Thu hồi khoản cho vay > Công ty TNHH Công Nghiệp Titan Corporation 2 (Bắc Ninh) (*),Công ty TNHH Công Nghiệp Titan Corporation 2 (Bắc Ninh) (*),51.800.000.000,-,51800000000.0,
Công ty Cổ phần Đầu tư' Khu công nghiệp Dầu khí Long Sơn (*),Thu hồi khoản cho vay > Công ty Cổ phần Đầu tư' Khu công nghiệp Dầu khí Long Sơn (*),Công ty Cổ phần Đầu tư' Khu công nghiệp Dầu khí Long Sơn (*),23.045.000.000,-,23045000000.0,
,,,251.177.728.448,44.250.000.000,251177728448.0,44250000000.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,Lãi cho vay,Lãi cho vay,,
Công ty TNHH Công Nghiệp Titan Corporation (Bắc Ninh) 1 (*),Lãi cho vay > Công ty TNHH Công Nghiệp Titan Corporation (Bắc Ninh) 1 (*),Công ty TNHH Công Nghiệp Titan Corporation (Bắc Ninh) 1 (*),58.940.472.868,11.559.056.822,58940472868.0,11559056822.0
Công ty TNHH Năng lượng Gelex Ninh Thuận,Lãi cho vay > Công ty TNHH Năng lượng Gelex Ninh Thuận,Công ty TNHH Năng lượng Gelex Ninh Thuận,37.848.113.874,26.149.270.550,37848113874.0,26149270550.0
Công ty TNHH Công Nghiệp Titan Corporation 2 (Bắc Ninh) (*),Lãi cho vay > Công ty TNHH Công Nghiệp Titan Corporation 2 (Bắc Ninh) (*),Công ty TNHH Công Nghiệp Titan Corporation 2 (Bắc Ninh) (*),27.153.757.851,30.210.550.431,27153757851.0,30210550431.0
Công ty TNHH Công Nghiệp Titan (Hưng Yên) (*),Lãi cho vay > Công ty TNHH Công Nghiệp Titan (Hưng Yên) (*),Công ty TNHH Công Nghiệp Titan (Hưng Yên) (*),18.593.772.036,16.129.443.687,18593772036.0,16129443687.0
