row_label_raw,row_label_full,Bên cho vay,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Bên cho vay,Bên cho vay,Bên cho vay,VND,VND,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Bên cho vay > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,2.695.351.644.334,1.574.755.401.675,2695351644334.0,1574755401675.0
Ngân hàng TMCP Công Thương Việt Nam,Bên cho vay > Ngân hàng TMCP Công Thương Việt Nam,Ngân hàng TMCP Công Thương Việt Nam,2.202.950.487.292,2.446.438.018.421,2202950487292.0,2446438018421.0
Ngân hàng TMCP Quân đội,Bên cho vay > Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,1.165.431.609.598,339.590.773.099,1165431609598.0,339590773099.0
Ngân hàng TMCP Kỹ thương Việt Nam,Bên cho vay > Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,1.102.846.184.933,123.897.941.481,1102846184933.0,123897941481.0
Ngân hàng TNHH MTV HSBC (Việt Nam),Bên cho vay > Ngân hàng TNHH MTV HSBC (Việt Nam),Ngân hàng TNHH MTV HSBC (Việt Nam),738.803.074.132,519.659.496.831,738803074132.0,519659496831.0
Ngân hàng TMCP Ngoại thương Việt Nam,Bên cho vay > Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,642.420.104.488,1.073.596.901.239,642420104488.0,1073596901239.0
Ngân hàng TNHH MTV Shinhan Việt Nam,Bên cho vay > Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,192.164.450.208,87.755.497.972,192164450208.0,87755497972.0
Ngân hàng BNP Paribas,Bên cho vay > Ngân hàng BNP Paribas,Ngân hàng BNP Paribas,79.945.429.536,341.662.762.337,79945429536.0,341662762337.0
Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Bên cho vay > Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,71.525.243.194,62.388.528.000,71525243194.0,62388528000.0
Ngân hàng TMCP Hàng hải Việt Nam,Bên cho vay > Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,70.000.000.000,206.549.145.715,70000000000.0,206549145715.0
Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Bên cho vay > Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,53.325.318.789,86.030.934.882,53325318789.0,86030934882.0
Ngân hàng Siam Commercial Bank Public Company Limited,Bên cho vay > Ngân hàng Siam Commercial Bank Public Company Limited,Ngân hàng Siam Commercial Bank Public Company Limited,-,98.000.000.000,,98000000000.0
Ngân hàng Malayan Banking Berhad,Bên cho vay > Ngân hàng Malayan Banking Berhad,Ngân hàng Malayan Banking Berhad,-,30.653.971.749,,30653971749.0
Ngân hàng TNHH MTV Standard Chartered (Việt Nam),Bên cho vay > Ngân hàng TNHH MTV Standard Chartered (Việt Nam),Ngân hàng TNHH MTV Standard Chartered (Việt Nam),-,27.297.843.573,,27297843573.0
Ngân hàng TMCP Việt Nam Thịnh Vương,Bên cho vay > Ngân hàng TMCP Việt Nam Thịnh Vương,Ngân hàng TMCP Việt Nam Thịnh Vương,-,20.000.000.000,,20000000000.0
Ngân hàng TMCP Sài Gòn - Hà Nội,Bên cho vay > Ngân hàng TMCP Sài Gòn - Hà Nội,Ngân hàng TMCP Sài Gòn - Hà Nội,-,1.181.924.446,,1181924446.0
,,,9.014.763.546.504,7.039.459.141.420,9014763546504.0,7039459141420.0
