row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thiết bị điện,"Sản xuất, kinh doanh năng lượng và nước sạch","Bán và cho thuê bắt động sản, hạ tầng khu công nghiệp, kinh doanh khách sạn",Sản xuất và kinh doanh vật liệu xây dựng,Khác,Tổng cộng,numeric__Sản xuất và kinh doanh thiết bị điện,"numeric__Sản xuất, kinh doanh năng lượng và nước sạch","numeric__Bán và cho thuê bắt động sản, hạ tầng khu công nghiệp, kinh doanh khách sạn",numeric__Sản xuất và kinh doanh vật liệu xây dựng,numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,25.035.534.791.758,1.290.605.525.048,4.492.962.280.355,8.621.400.691.557,72.024.862.235,39.512.528.150.953,25035534791758.0,1290605525048.0,4492962280355.0,8621400691557.0,72024862235.0,39512528150953.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(21.035.731.012.005),(758.321.890.728),(2.187.177.150.029),(7.095.463.952.292),(19.294.154.247),(31.095.988.159.301),-21035731012005.0,-758321890728.0,-2187177150029.0,-7095463952292.0,-19294154247.0,-31095988159301.0
Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,3.999.803.779.753,532.283.634.320,2.305.785.130.326,1.525.936.739.265,52.730.707.988,8.416.539.991.652,3999803779753.0,532283634320.0,2305785130326.0,1525936739265.0,52730707988.0,8416539991652.0
(Chi phí) không phân bổ,(Chi phí) không phân bổ,(Chi phí) không phân bổ,,,,,,(3.496.103.151.510),,,,,,-3496103151510.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,4.920.436.840.142,,,,,,4920436840142.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,213.593.456.553,,,,,,213593456553.0
Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,,,,,,(513.039.778.710),,,,,,-513039778710.0
Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,,,4.620.990.517.985,,,,,,4620990517985.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,1.664.868.189.650,,,,,,1664868189650.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,2.956.122.328.335,,,,,,2956122328335.0
