row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,34.178.464.517.829,30.953.410.567.039,,200.0,,34178464517829.0,30953410567039.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,2.246.261.866.399,1.409.059.267.857,,210.0,,2246261866399.0,1409059267857.0
1.,1.,1.,Phải thu dài hạn của khách hàng,211,,9.387.653.743,10.411.001.970,,211.0,,9387653743.0,10411001970.0
2.,2.,2.,Phải thu về cho vay dài hạn,215,10,998.590.640.648,1.105.072.486.247,,215.0,10.0,998590640648.0,1105072486247.0
3.,3.,3.,Phải thu dài hạn khác,216,11,1.319.346.398.931,293.575.779.640,,216.0,11.0,1319346398931.0,293575779640.0
4.,4.,4.,Dự phòng phải thu dài hạn,219,12,(81.062.826.923),-,,219.0,12.0,-81062826923.0,
II.,II.,II.,Tài sản cố định,220,,13.017.056.906.267,13.871.952.908.898,,220.0,,13017056906267.0,13871952908898.0
1.,1.,1.,Tài sản cố định hữu hình,221,15,12.100.558.521.237,12.977.156.707.324,,221.0,15.0,12100558521237.0,12977156707324.0
,,,- Nguyên giá,222,,25.607.025.805.364,24.646.495.917.659,,222.0,,25607025805364.0,24646495917659.0
,,,- Giá trị hao mòn lũy kế,223,,(13.506.467.284.127),(11.669.339.210.335),,223.0,,-13506467284127.0,-11669339210335.0
2.,2.,2.,Tài sản cố định thuê tài chính,224,16,274.223.258.884,288.113.524.418,,224.0,16.0,274223258884.0,288113524418.0
,,,- Nguyên giá,225,,284.562.354.070,335.805.927.142,,225.0,,284562354070.0,335805927142.0
,,,- Giá trị hao mòn lũy kế,226,,(10.339.095.186),(47.692.402.724),,226.0,,-10339095186.0,-47692402724.0
3.,3.,3.,Tài sản cố định vô hình,227,17,642.275.126.146,606.682.677.156,,227.0,17.0,642275126146.0,606682677156.0
,,,- Nguyên giá,228,,1.010.359.841.452,832.837.065.815,,228.0,,1010359841452.0,832837065815.0
,,,- Giá trị hao mòn lũy kế,229,,(368.084.715.306),(226.154.388.659),,229.0,,-368084715306.0,-226154388659.0
III.,III.,III.,Bất động sản đầu tư,230,18,3.307.729.293.069,2.516.202.371.393,,230.0,18.0,3307729293069.0,2516202371393.0
,,,- Nguyên giá,231,,15.893.669.481.810,13.989.083.012.792,,231.0,,15893669481810.0,13989083012792.0
,,,- Giá trị hao mòn lũy kế,232,,(12.585.940.188.741),(11.472.880.641.399),,232.0,,-12585940188741.0,-11472880641399.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,9.979.449.166.811,7.928.773.368.011,,240.0,,9979449166811.0,7928773368011.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,19,9.979.449.166.811,7.928.773.368.011,,242.0,19.0,9979449166811.0,7928773368011.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,,3.209.901.113.256,2.989.757.831.904,,250.0,,3209901113256.0,2989757831904.0
1.,1.,1.,"Đầu tư vào công ty liên doanh, liên kết",252,20,2.947.158.634.034,2.855.791.356.282,,252.0,20.0,2947158634034.0,2855791356282.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,20,328.710.084.458,133.427.689.404,,253.0,20.0,328710084458.0,133427689404.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,20,(69.095.905.236),(1.213.513.782),,254.0,20.0,-69095905236.0,-1213513782.0
4.,4.,4.,Đầu tư nằm giữ đến ngày đáo hạn,255,7,3.128.300.000,1.752.300.000,,255.0,7.0,3128300000.0,1752300000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,2.418.066.172.027,2.237.664.818.976,,260.0,,2418066172027.0,2237664818976.0
1.,1.,1.,Chi phí trả trước dài hạn,261,14,1.238.393.798.572,1.013.964.689.527,,261.0,14.0,1238393798572.0,1013964689527.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,31,215.571.617.150,160.892.490.195,,262.0,31.0,215571617150.0,160892490195.0
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,4.846.963.656,4.834.503.690,,263.0,,4846963656.0,4834503690.0
4.,4.,4.,Lợi thế thương mại,269,21,959.253.792.649,1.057.973.135.564,,269.0,21.0,959253792649.0,1057973135564.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,73.592.590.903.667,53.782.318.218.822,,270.0,,73592590903667.0,53782318218822.0
