row_label_raw,row_label_full,col_0,Số đầu năm,Chênh lệch tỷ giá hối đoái do chuyển đổi báo cáo bằng ngoại tệ,Góp vốn/Mua trong năm,Tăng do hợp nhất kinh doanh,"Phần lợi nhuận/(lỗ) từ công ty liên doanh, liên kết",Phân phối lợi nhuận và điều chỉnh khác,Chuyển thành công ty con,Số cuối năm,numeric__Số đầu năm,numeric__Chênh lệch tỷ giá hối đoái do chuyển đổi báo cáo bằng ngoại tệ,numeric__Góp vốn/Mua trong năm,numeric__Tăng do hợp nhất kinh doanh,"numeric__Phần lợi nhuận/(lỗ) từ công ty liên doanh, liên kết",numeric__Phân phối lợi nhuận và điều chỉnh khác,numeric__Chuyển thành công ty con,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,VND,,VND,,,,,,,,
Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,1.202.443.835.579,-,26.891.276.500,-,103.748.716.119,(42.930.634.986),-,1.290.153.193.212,1202443835579.0,,26891276500.0,,103748716119.0,-42930634986.0,,1290153193212.0
Công ty TNHH Titan Corporation,Công ty TNHH Titan Corporation,Công ty TNHH Titan Corporation,609.244.037.518,-,93.345.000.000,-,(73.798.046.728),-,-,628.790.990.790,609244037518.0,,93345000000.0,,-73798046728.0,,,628790990790.0
Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,260.545.293.714,-,-,-,84.408.881.926,(44.905.611.569),-,300.048.564.071,260545293714.0,,,,84408881926.0,-44905611569.0,,300048564071.0
Công ty Cổ phần Xây lắp Dầu khí Bình Sơn,Công ty Cổ phần Xây lắp Dầu khí Bình Sơn,Công ty Cổ phần Xây lắp Dầu khí Bình Sơn,-,-,-,278.246.770.742,-,-,-,278.246.770.742,,,,278246770742.0,,,,278246770742.0
Công ty SanVig - CTCP,Công ty SanVig - CTCP,Công ty SanVig - CTCP,141.832.506.629,11.154.694.779,6.237.292.160,-,9.489.161.011,758.930.529,-,169.472.585.109,141832506629.0,11154694779.0,6237292160.0,,9489161011.0,758930529.0,,169472585109.0
Công ty TNHH MTV Năng lượng GELEX Ninh Thuận,Công ty TNHH MTV Năng lượng GELEX Ninh Thuận,Công ty TNHH MTV Năng lượng GELEX Ninh Thuận,87.572.917.946,-,-,-,12.972.205.462,-,-,100.545.123.408,87572917946.0,,,,12972205462.0,,,100545123408.0
Công ty Cổ phần Nước sạch Tây Hà Nội,Công ty Cổ phần Nước sạch Tây Hà Nội,Công ty Cổ phần Nước sạch Tây Hà Nội,95.695.733.333,-,-,-,1.141.005.427,-,-,96.836.738.760,95695733333.0,,,,1141005427.0,,,96836738760.0
Công ty TNHH Chế tạo diện cơ HEM,Công ty TNHH Chế tạo diện cơ HEM,Công ty TNHH Chế tạo diện cơ HEM,19.472.464.413,-,-,-,6.240.078.986,(2.280.000.000),-,23.432.543.399,19472464413.0,,,,6240078986.0,-2280000000.0,,23432543399.0
Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,Công ty Cổ phần Viglacera Đông Triều,28.460.050.397,-,-,-,(5.324.977.602),-,-,23.135.072.795,28460050397.0,,,,-5324977602.0,,,23135072795.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,21.993.948.099,-,-,-,392.435.070,-,-,22.386.383.169,21993948099.0,,,,392435070.0,,,22386383169.0
Công ty Cổ phần Viglacera Hạ long II,Công ty Cổ phần Viglacera Hạ long II,Công ty Cổ phần Viglacera Hạ long II,8.247.847.365,-,-,-,1.456.796.632,-,-,9.704.643.997,8247847365.0,,,,1456796632.0,,,9704643997.0
Công ty Cổ phần Gạch ngói Từ Sơn,Công ty Cổ phần Gạch ngói Từ Sơn,Công ty Cổ phần Gạch ngói Từ Sơn,3.088.914.688,-,-,-,181.544.894,-,-,3.270.459.582,3088914688.0,,,,181544894.0,,,3270459582.0
Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,909.380.000,-,-,-,-,-,-,909.380.000,909380000.0,,,,,,,909380000.0
Công ty Cổ phần Magno GMHB,Công ty Cổ phần Magno GMHB,Công ty Cổ phần Magno GMHB,226.185.000,-,-,-,-,-,-,226.185.000,226185000.0,,,,,,,226185000.0
Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,Công ty Cổ phần Đầu tư Khu công nghiệp Dầu khí Long Sơn,220.005.028.561,-,-,-,-,-,(220.005.028.561),-,220005028561.0,,,,,,-220005028561.0,
Công ty TNHH Kính nối Việt Nam,Công ty TNHH Kính nối Việt Nam,Công ty TNHH Kính nối Việt Nam,156.053.213.040,-,-,-,(12.990.805.013),-,(143.062.408.027),-,156053213040.0,,,,-12990805013.0,,-143062408027.0,
