row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc VND,Số cuối năm > Dự phòng VND,Số cuối năm > Giá trị hợp lý VND,Số cuối năm > Giá gốc VND_1,Số cuối năm > Dự phòng VND_1,Số đầu năm > Giá trị hợp lý VND,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Dự phòng VND,numeric__Số cuối năm > Giá trị hợp lý VND,numeric__Số cuối năm > Giá gốc VND_1,numeric__Số cuối năm > Dự phòng VND_1,numeric__Số đầu năm > Giá trị hợp lý VND
Công ty Cổ phần Genfarma,Công ty Cổ phần Genfarma,Công ty Cổ phần Genfarma,127.400.000.000,-,(i),-,-,(i),127400000000.0,,,,,
Công ty Cổ phần Viwaco,Công ty Cổ phần Viwaco,Công ty Cổ phần Viwaco,120.734.325.759,-,257.165.550.000,120.734.325.759,-,241.470.000.000,120734325759.0,,257165550000.0,120734325759.0,,241470000000.0
Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Sài Gòn,28.500.000.000,(28.500.000.000),(i),-,-,-,28500000000.0,-28500000000.0,,,,
Công ty Cổ phần Khách sạn Dầu khí Lam Kinh,Công ty Cổ phần Khách sạn Dầu khí Lam Kinh,Công ty Cổ phần Khách sạn Dầu khí Lam Kinh,28.382.391.454,(28.382.391.454),(i),-,-,(i),28382391454.0,-28382391454.0,,,,
Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Kinh Bắc,Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Kinh Bắc,Công ty Cổ phần Đầu tư và Xây lắp Dầu khí Kinh Bắc,11.000.000.000,(11.000.000.000),(i),-,-,(i),11000000000.0,-11000000000.0,,,,
Công ty Cổ phần Visaho,Công ty Cổ phần Visaho,Công ty Cổ phần Visaho,5.400.000.000,-,(i),5.400.000.000,-,(i),5400000000.0,,,5400000000.0,,
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,2.178.670.000,-,6.547.065.000,2.178.670.000,-,6.945.974.400,2178670000.0,,6547065000.0,2178670000.0,,6945974400.0
Công ty Cổ phần Phát triển và Kinh doanh Nhà Vĩnh Phúc,Công ty Cổ phần Phát triển và Kinh doanh Nhà Vĩnh Phúc,Công ty Cổ phần Phát triển và Kinh doanh Nhà Vĩnh Phúc,1.305.017.929,(623.330.293),(i),1.305.017.929,(605.000.000),(i),1305017929.0,-623330293.0,,1305017929.0,-605000000.0,
Công ty Cổ phần Cầu Xây,Công ty Cổ phần Cầu Xây,Công ty Cổ phần Cầu Xây,1.184.497.242,-,(i),1.184.497.242,-,(i),1184497242.0,,,1184497242.0,,
Công ty Cổ phần Công nghệ cao,Công ty Cổ phần Công nghệ cao,Công ty Cổ phần Công nghệ cao,1.057.011.301,-,(i),1.057.011.301,-,(i),1057011301.0,,,1057011301.0,,
Các đơn vị khác,Các đơn vị khác,Các đơn vị khác,1.568.170.773,(590.183.489),(i),1.568.167.173,(608.513.782),(i),1568170773.0,-590183489.0,,1568167173.0,-608513782.0,
,,,328.710.084.458,(69.095.905.236),,133.427.689.404,(1.213.513.782),,328710084458.0,-69095905236.0,,133427689404.0,-1213513782.0,
