row_label_raw,row_label_full,STT,Tên công ty con/công ty liên kết,Trụ sở chính,Tỷ lệ phần sở hữu trực tiếp (%),Tỷ lệ quyền biểu quyết (%),Hoạt động chính,numeric__Tên công ty con/công ty liên kết,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu trực tiếp (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Hoạt động chính
,,,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,,
1.,1.,1.,"Tổng Công ty Viglacera - CTCP (""Viglacera"") (ii)",Hà Nội,"50,21%","50,21%","Sản xuất kinh doanh vật liệu xây dựng, kinh doanh bất động sản và xây dựng",,,0.5021,0.5021,
2.,2.,2.,"Công ty Cổ phần Đầu tư nước sạch Sông Đà (""Viwasupco"")",Phú Thọ (trước đây là Hòa Bình),"62,46%","62,46%",Sản xuất và cung cấp nước sạch,,,0.6246,0.6246,
3.,3.,3.,"Công ty Cổ phần Đầu tư và phát triển Khu Công nghiệp Dầu khí Long Sơn (""PXL"") (iii)",Thành phố Hồ Chí Minh,"65,00%","65,00%","Xây dựng công trình dân dụng, công trình công nghiệp, giao thông và thủy lợi.",,,0.65,0.65,
4.,4.,4.,"Công ty TNHH FIH (Việt Nam) (""FIH"") (iv)",Thành phố Hồ Chí Minh,"100,00%","100,00%",Hoạt động tư vấn quản lý,,,1.0,1.0,
5.,5.,5.,Công ty Cổ phần Titan Hải Phòng,Hải Phòng,"70,00%","70,00%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.7,0.7,
,,,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,Công ty con gián tiếp,,,,,
1.,1.,1.,Công ty Cổ phần Xuất nhập khẩu Vật liệu Kim Trang,Hải Phòng,"30,698%","99,698%",Đầu tư và kinh doanh bất động sản,,,0.30698000000000003,0.99698,
2.,2.,2.,Công ty Cổ phần Viglacera Phú Thọ (*),Phú Thọ,"42,42%","94,44%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.4242,0.9444,
3.,3.,3.,Cổ phần Viglacera Thái Nguyên (*),Thái Nguyên,"11,75%","71,70%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.1175,0.7170000000000001,
,,,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,
1.,1.,1.,Công ty Cổ phần Nước sạch Tây Hà Nội,Hà Nội,"50,00%","50,00%",Sản xuất và cung cấp nước sạch,,,0.5,0.5,
2.,2.,2.,Công ty TNHH Titan Corporation,Thành phố Hồ Chí Minh,"49,00%","49,00%",Đầu tư và kinh doanh hạ tầng khu công nghiệp,,,0.49,0.49,
