row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Quyền khai thác mặt nước,"Chi phí đến bù, chuẩn bị mặt bằng","Giá trị thường hiệu, nhân hiệu hàng hóa và bản quyền sáng chế",Phần mềm máy tính,Giấy phép và giấy nhượng quyền,Khác,Tổng,numeric__Quyền sử dụng đất,numeric__Quyền khai thác mặt nước,"numeric__Chi phí đến bù, chuẩn bị mặt bằng","numeric__Giá trị thường hiệu, nhân hiệu hàng hóa và bản quyền sáng chế",numeric__Phần mềm máy tính,numeric__Giấy phép và giấy nhượng quyền,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,186.628.455.708,384.184.174.786,93.259.704.164,5.071.016.121,112.458.103.936,42.496.413.266,8.739.197.834,832.837.065.815,186628455708.0,384184174786.0,93259704164.0,5071016121.0,112458103936.0,42496413266.0,8739197834.0,832837065815.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,-,-,4.295.685.000,9.086.016.250,-,-,13.381.701.250,,,,4295685000.0,9086016250.0,,,13381701250.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,139.784.369.082,-,23.954.591.427,-,1.893.144.084,-,-,165.632.104.593,139784369082.0,,23954591427.0,,1893144084.0,,,165632104593.0
Giám do thoái vốn tại Công ty con,NGUYÊN GIÁ > Giám do thoái vốn tại Công ty con,Giám do thoái vốn tại Công ty con,(9.496.288.442),-,-,-,-,-,-,(9.496.288.442),-9496288442.0,,,,,,,-9496288442.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,-,(699.940.250),-,-,(699.940.250),,,,,-699940250.0,,,-699940250.0
Phân loại lại từ bắt động sản đầu tư,NGUYÊN GIÁ > Phân loại lại từ bắt động sản đầu tư,Phân loại lại từ bắt động sản đầu tư,8.705.198.486,-,-,-,-,-,-,8.705.198.486,8705198486.0,,,,,,,8705198486.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,325.621.734.834,384.184.174.786,117.214.295.591,9.366.701.121,122.737.324.020,42.496.413.266,8.739.197.834,1.010.359.841.452,325621734834.0,384184174786.0,117214295591.0,9366701121.0,122737324020.0,42496413266.0,8739197834.0,1010359841452.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,,,
