row_label_raw,row_label_full,col_0,Giá trị hợp lýxác định tại ngày mua,numeric__Giá trị hợp lýxác định tại ngày mua
Tài sản,Tài sản,Tài sản,VND,
Thông tin lưu chuyển tiền tệ từ việc mua hợp nhất công ty con,Thông tin lưu chuyển tiền tệ từ việc mua hợp nhất công ty con,Thông tin lưu chuyển tiền tệ từ việc mua hợp nhất công ty con,,
Tiền thu về từ công ty con,Thông tin lưu chuyển tiền tệ từ việc mua hợp nhất công ty con > Tiền thu về từ công ty con,Tiền thu về từ công ty con,934.605.610.300,934605610300.0
Tiền chỉ mua Công ty con,Thông tin lưu chuyển tiền tệ từ việc mua hợp nhất công ty con > Tiền chỉ mua Công ty con,Tiền chỉ mua Công ty con,(934.232.880.000),-934232880000.0
Lưu chuyển tiền thuần từ nghiệp vụ mua Công ty con,Thông tin lưu chuyển tiền tệ từ việc mua hợp nhất công ty con > Lưu chuyển tiền thuần từ nghiệp vụ mua Công ty con,Lưu chuyển tiền thuần từ nghiệp vụ mua Công ty con,372.730.300,372730300.0
