row_label_raw,row_label_full,NGUỒN VỐN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,30.173.605.173.562,23.257.960.536.946,400.0,,30173605173562.0,23257960536946.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,33,30.136.536.048.713,23.218.978.324.106,410.0,33.0,30136536048713.0,23218978324106.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,9.023.989.480.000,8.594.297.930.000,411.0,,9023989480000.0,8594297930000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,9.023.989.480.000,8.594.297.930.000,,,9023989480000.0,8594297930000.0
2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,412,,662.912.856.719,663.003.856.719,412.0,,662912856719.0,663003856719.0
3. Vốn khác của chủ sở hữu,3. Vốn khác của chủ sở hữu,3. Vốn khác của chủ sở hữu,414,,77.388.963.577,77.388.963.577,414.0,,77388963577.0,77388963577.0
4. Chênh lệch tỷ giá hối đoái,4. Chênh lệch tỷ giá hối đoái,4. Chênh lệch tỷ giá hối đoái,417,,23.084.229.162,14.587.980.358,417.0,,23084229162.0,14587980358.0
5. Quỹ đầu tư phát triển,5. Quỹ đầu tư phát triển,5. Quỹ đầu tư phát triển,418,,728.051.877.964,655.599.859.290,418.0,,728051877964.0,655599859290.0
6. Lợi nhuận sau thuế chưa phân phối,6. Lợi nhuận sau thuế chưa phân phối,6. Lợi nhuận sau thuế chưa phân phối,421,,7.263.827.855.875,3.952.152.891.868,421.0,,7263827855875.0,3952152891868.0
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,2.954.964.475.854,2.320.854.947.952,,,2954964475854.0,2320854947952.0
- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,4.308.863.380.021,1.631.297.943.916,,,4308863380021.0,1631297943916.0
7. Lợi ích của cổ đông không kiểm soát,7. Lợi ích của cổ đông không kiểm soát,7. Lợi ích của cổ đông không kiểm soát,429,,12.357.280.785.416,9.261.946.842.294,429.0,,12357280785416.0,9261946842294.0
II. Nguồn kinh phí và quỹ khác,II. Nguồn kinh phí và quỹ khác,II. Nguồn kinh phí và quỹ khác,430,,37.069.124.849,38.982.212.840,430.0,,37069124849.0,38982212840.0
1. Nguồn kinh phí đã hình thành tài sản cổ định,1. Nguồn kinh phí đã hình thành tài sản cổ định,1. Nguồn kinh phí đã hình thành tài sản cổ định,432,,37.069.124.849,38.982.212.840,432.0,,37069124849.0,38982212840.0
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,73.592.590.903.667,53.782.318.218.822,440.0,,73592590903667.0,53782318218822.0
