row_label_raw,row_label_full,TÀI SẢN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,,39.414.126.385.838,22.828.907.651.783,100.0,,39414126385838.0,22828907651783.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,6,8.659.541.542.782,4.074.201.905.889,110.0,6.0,8659541542782.0,4074201905889.0
1. Tiền,1. Tiền,1. Tiền,111,,3.300.072.421.287,2.033.549.142.307,111.0,,3300072421287.0,2033549142307.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,5.359.469.121.495,2.040.652.763.582,112.0,,5359469121495.0,2040652763582.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,7,9.967.194.691.272,5.042.691.984.219,120.0,7.0,9967194691272.0,5042691984219.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,7.425.638.789.063,4.547.632.976.936,121.0,,7425638789063.0,4547632976936.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,,(137.184.567.815),(23.975.524.800),122.0,,-137184567815.0,-23975524800.0
3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,123,,2.678.740.470.024,519.034.532.083,123.0,,2678740470024.0,519034532083.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,4.996.929.157.208,4.037.190.024.768,130.0,,4996929157208.0,4037190024768.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,8,2.494.564.240.752,2.335.783.771.095,131.0,8.0,2494564240752.0,2335783771095.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,9,1.296.315.799.500,1.211.916.380.704,132.0,9.0,1296315799500.0,1211916380704.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,10,549.950.000.000,115.075.000.000,135.0,10.0,549950000000.0,115075000000.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,11,1.212.984.853.411,865.367.477.127,136.0,11.0,1212984853411.0,865367477127.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,12,(556.885.736.455),(490.952.604.158),137.0,12.0,-556885736455.0,-490952604158.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,13,14.454.964.441.243,8.684.599.751.876,140.0,13.0,14454964441243.0,8684599751876.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,14.701.100.664.449,8.879.344.974.669,141.0,,14701100664449.0,8879344974669.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(246.136.223.206),(194.745.222.793),149.0,,-246136223206.0,-194745222793.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,1.335.496.553.333,990.223.985.031,150.0,,1335496553333.0,990223985031.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,14,79.095.047.659,69.011.887.537,151.0,14.0,79095047659.0,69011887537.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,1.225.058.506.312,873.267.399.664,152.0,,1225058506312.0,873267399664.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,24,31.342.999.362,47.944.697.830,153.0,24.0,31342999362.0,47944697830.0
