row_label_raw,row_label_full,col_0,Đơn vị,Số cuối năm,Số đầu năm,numeric__Đơn vị,numeric__Số cuối năm,numeric__Số đầu năm
Đô la Mỹ,Đô la Mỹ,Đô la Mỹ,USD,4.286.361,2.762.794,,4286361.0,2762794.0
Euro,Euro,Euro,EUR,38.698,320.717,,38698.0,320717.0
Rúp Nga,Rúp Nga,Rúp Nga,RUB,2.928.704,94.927,,2928704.0,94927.0
Đồng Peso,Đồng Peso,Đồng Peso,CUP,20.138,20.138,,20138.0,20138.0
Đô la Úc,Đô la Úc,Đô la Úc,AUD,341,241,,341.0,241.0
,,,Đơn vị,Số cuối năm,Số đầu năm,,,
Nợ phải thu khó đòi đã xử lý,Nợ phải thu khó đòi đã xử lý,Nợ phải thu khó đòi đã xử lý,VND,136.146.281.611,127.614.227.117,,136146281611.0,127614227117.0
Tài sản nhận giữ hộ,Tài sản nhận giữ hộ,Tài sản nhận giữ hộ,Tài sản nhận giữ hộ,Tài sản nhận giữ hộ,Tài sản nhận giữ hộ,,,
,,,Đơn vị,Số cuối năm,Số đầu năm,,,
Máy biến áp,Tài sản nhận giữ hộ > Máy biến áp,Máy biến áp,Cái,15,48,,15.0,48.0
