row_label_raw,row_label_full,STT,Đơn vị bảo lãnh/tư vấn phát hành,Số cuối năm,Số đầu năm,numeric__Đơn vị bảo lãnh/tư vấn phát hành,numeric__Số cuối năm,numeric__Số đầu năm
,,,,VND,VND,,,
1.,1.,1.,Quỹ Đầu tư và Đảm báo tín dụng (Credit Guarantee and Investment Facility - CGIF),1.150.000.000.000,1.150.000.000.000,,1150000000000.0,1150000000000.0
2.,2.,2.,Chi phí phát hành trái phiếu,(10.847.936.659),(13.559.920.831),,-10847936659.0,-13559920831.0
,,,Tổng cộng,1.139.152.063.341,1.136.440.079.169,,1139152063341.0,1136440079169.0
,,,Trong đó:,,,,,
,,,Trái phiếu dài hạn đến hạn trả,-,-,,,
,,,Trái phiếu dài hạn,1.139.152.063.341,1.136.440.079.169,,1139152063341.0,1136440079169.0
