row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Chênh lệch tỷ giá hối doái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích của cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Chênh lệch tỷ giá hối doái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích của cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,8.594.297.930.000,663.003.856.719,77.388.963.577,14.587.980.358,655.599.859.290,3.952.152.891.868,9.261.946.842.294,23.218.978.324.106,8594297930000.0,663003856719.0,77388963577.0,14587980358.0,655599859290.0,3952152891868.0,9261946842294.0,23218978324106.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,1.477.891.529.178,1.478.230.799.157,2.956.122.328.335,,,,,,1477891529178.0,1478230799157.0,2956122328335.0
Tăng vốn ở công ty con,Tăng vốn ở công ty con,Tăng vốn ở công ty con,-,-,-,-,-,29.587.899.324,129.228.200.676,158.816.100.000,,,,,,29587899324.0,129228200676.0,158816100000.0
Mua công ty con,Mua công ty con,Mua công ty con,-,-,-,-,-,-,678.467.840.121,678.467.840.121,,,,,,,678467840121.0,678467840121.0
Góp vốn thành lập công ty con,Góp vốn thành lập công ty con,Góp vốn thành lập công ty con,-,-,-,-,-,-,893.411.600.000,893.411.600.000,,,,,,,893411600000.0,893411600000.0
Mua thêm từ lợi ích cổ đông không kiểm soát,Mua thêm từ lợi ích cổ đông không kiểm soát,Mua thêm từ lợi ích cổ đông không kiểm soát,-,-,-,-,-,(16.924.235.534),(64.325.764.466),(81.250.000.000),,,,,,-16924235534.0,-64325764466.0,-81250000000.0
Thoái vốn tại công ty con,Thoái vốn tại công ty con,Thoái vốn tại công ty con,-,-,-,-,-,-,(186.203.965.287),(186.203.965.287),,,,,,,-186203965287.0,-186203965287.0
Thay đổi tỷ lệ sở hữu ở công ty con,Thay đổi tỷ lệ sở hữu ở công ty con,Thay đổi tỷ lệ sở hữu ở công ty con,-,-,-,-,-,3.540.227.345.453,1.353.901.887.378,4.894.129.232.831,,,,,,3540227345453.0,1353901887378.0,4894129232831.0
Cổ tức công bố bằng cổ phiếu (ii),Cổ tức công bố bằng cổ phiếu (ii),Cổ tức công bố bằng cổ phiếu (ii),429.691.550.000,(91.000.000),-,-,-,(429.691.550.000),-,(91.000.000),429691550000.0,-91000000.0,,,,-429691550000.0,,-91000000.0
Cổ tức công bố bằng tiền (ii),Cổ tức công bố bằng tiền (ii),Cổ tức công bố bằng tiền (ii),-,-,-,-,-,(1.151.634.054.900),(1.162.866.635.500),(2.314.500.690.400),,,,,,-1151634054900.0,-1162866635500.0,-2314500690400.0
Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),-,-,-,-,72.452.018.674,(72.452.018.674),-,-,,,,,72452018674.0,-72452018674.0,,
"Trích quỹ khen thưởng, phúc lợi và thủ lao Hội đồng Quản trị (i)","Trích quỹ khen thưởng, phúc lợi và thủ lao Hội đồng Quản trị (i)","Trích quỹ khen thưởng, phúc lợi và thủ lao Hội đồng Quản trị (i)",-,-,-,-,-,(65.326.309.294),(35.756.711.938),(105.083.021.232),,,,,,-65326309294.0,-35756711938.0,-105083021232.0
Chênh lệch tỷ giá phát sinh do chuyển đổi báo cáo công ty con,Chênh lệch tỷ giá phát sinh do chuyển đổi báo cáo công ty con,Chênh lệch tỷ giá phát sinh do chuyển đổi báo cáo công ty con,-,-,-,8.496.248.804,-,-,15.252.886.398,23.749.135.202,,,,8496248804.0,,,15252886398.0,23749135202.0
Giám khác,Giám khác,Giám khác,-,-,-,-,-,(3.641.546),(6.193.417),(9.834.963),,,,,,-3641546.0,-6193417.0,-9834963.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,9.023.989.480.000,662.912.856.719,77.388.963.577,23.084.229.162,728.051.877.964,7.263.827.855.875,12.357.280.785.416,30.136.536.048.713,9023989480000.0,662912856719.0,77388963577.0,23084229162.0,728051877964.0,7263827855875.0,12357280785416.0,30136536048713.0
