row_label_raw,row_label_full,STT,Tên tài sản,Thời gian khấu hao trước thay đổi (số năm),Thời gian khấu hao sau thay đổi (số năm),numeric__Tên tài sản,numeric__Thời gian khấu hao trước thay đổi (số năm),numeric__Thời gian khấu hao sau thay đổi (số năm)
1,1,1,Tuyến ống truyền tải nước sạch đoạn từ Khu xử lý đến Trạm điều tiết Tây Mỗ (km 7+800) - Mốc 1 (20km đầu),20,14,,20.0,14.0
2,2,2,Tuyến ống truyền tải nước sạch đoạn từ Khu xử lý đến Trạm điều tiết Tây Mỗ (km 7+800) - Mốc 2 (20km sau),20,14,,20.0,14.0
3,3,3,"Tuyến ống truyền tải cấp II số 2, 3",20,14,,20.0,14.0
4,4,4,Hạng mục Khu xử lý bùn giai đoạn II,20,14,,20.0,14.0
5,5,5,Tuyến ống truyền tải cấp II số 1,20,14,,20.0,14.0
