row_label_raw,row_label_full,col_0,Máy mócvà thiết bị,Phương tiệnvận tải và thiết bịdụng cụ quản lý,Tổng,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải và thiết bịdụng cụ quản lý,numeric__Tổng
,,,VND,VND,VND,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,319.213.121.224,16.592.805.918,335.805.927.142,319213121224.0,16592805918.0,335805927142.0
Thuê trong năm,NGUYÊN GIÁ > Thuê trong năm,Thuê trong năm,56.727.069.358,2.853.707.760,59.580.777.118,56727069358.0,2853707760.0,59580777118.0
Mua lại tài sản cố định thuê tài chính,NGUYÊN GIÁ > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,56.300.000,4.000.000,60.300.000,56300000.0,4000000.0,60300000.0
Chuyển sang tài sản cố định hữu hình,NGUYÊN GIÁ > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(102.875.669.897),(8.117.062.112),(110.992.732.009),-102875669897.0,-8117062112.0,-110992732009.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,108.081.819,-,108.081.819,108081819.0,,108081819.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,273.228.902.504,11.333.451.566,284.562.354.070,273228902504.0,11333451566.0,284562354070.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,41.588.860.305,6.103.542.419,47.692.402.724,41588860305.0,6103542419.0,47692402724.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,43.816.880.343,2.902.966.339,46.719.846.682,43816880343.0,2902966339.0,46719846682.0
Chuyển sang tài sản cố định hữu hình,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(86.078.663.978),(4.328.866.067),(90.407.530.045),-86078663978.0,-4328866067.0,-90407530045.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,6.334.375.825,-,6.334.375.825,6334375825.0,,6334375825.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,5.661.452.495,4.677.642.691,10.339.095.186,5661452495.0,4677642691.0,10339095186.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,277.624.260.919,10.489.263.499,288.113.524.418,277624260919.0,10489263499.0,288113524418.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,267.567.450.009,6.655.808.875,274.223.258.884,267567450009.0,6655808875.0,274223258884.0
