row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Lãi cho vay và tiền gửi ngân hàng phải thu,Lãi cho vay và tiền gửi ngân hàng phải thu,Lãi cho vay và tiền gửi ngân hàng phải thu,629.188.521.849,190.470.126.988,629188521849.0,190470126988.0
Phải thu các khoản chi hộ,Phải thu các khoản chi hộ,Phải thu các khoản chi hộ,199.890.835.989,-,199890835989.0,
Phải thu lại tiền đã chuyển để góp vốn vào công ty con do không còn kê hoạch tăng vốn,Phải thu lại tiền đã chuyển để góp vốn vào công ty con do không còn kê hoạch tăng vốn,Phải thu lại tiền đã chuyển để góp vốn vào công ty con do không còn kê hoạch tăng vốn,107.720.000.000,-,107720000000.0,
Phải thu khoản đặt cọc mua cổ phần,Phải thu khoản đặt cọc mua cổ phần,Phải thu khoản đặt cọc mua cổ phần,94.697.103.485,-,94697103485.0,
Cổ tức phải thu,Cổ tức phải thu,Cổ tức phải thu,-,33.700.000.000,,33700000000.0
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,56.392.912.638,1.183.063.906,56392912638.0,1183063906.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.087.889.373.961,225.353.190.894,1087889373961.0,225353190894.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu khác từ các bên khác,Trong đó: > Phải thu khác từ các bên khác,Phải thu khác từ các bên khác,393.310.091.428,17.510.000.000,393310091428.0,17510000000.0
Phải thu khác từ các bên liên quan(Thuyết minh số 27),Trong đó: > Phải thu khác từ các bên liên quan(Thuyết minh số 27),Phải thu khác từ các bên liên quan(Thuyết minh số 27),694.579.282.533,207.843.190.894,694579282533.0,207843190894.0
Dự phòng phải thu khác ngắn hạn khó đòi,Dự phòng phải thu khác ngắn hạn khó đòi,Dự phòng phải thu khác ngắn hạn khó đòi,-,-,,
