row_label_raw,row_label_full,col_0,Số đầu năm,Số phát sinh trong năm,Số đã nộp trong năm,Số được bù trừ trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phát sinh trong năm,numeric__Số đã nộp trong năm,numeric__Số được bù trừ trong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,161.562.406.447,(4.942.521.960),-,156.619.884.487,,161562406447.0,-4942521960.0,,156619884487.0
Thuế thu nhập doanh nghiệp (Thuyết minh số 26),Phải nộp > Thuế thu nhập doanh nghiệp (Thuyết minh số 26),Thuế thu nhập doanh nghiệp (Thuyết minh số 26),-,95.441.571.159,(9.538.786.075),(9.796.285.359),76.106.499.725,,95441571159.0,-9538786075.0,-9796285359.0,76106499725.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,626.310.018,11.334.895.948,(10.925.557.281),-,1.035.648.685,626310018.0,11334895948.0,-10925557281.0,,1035648685.0
Tiền sử dụng đất,Phải nộp > Tiền sử dụng đất,Tiền sử dụng đất,-,398.089.451.474,(227.479.686.224),-,170.609.765.250,,398089451474.0,-227479686224.0,,170609765250.0
Thuế nhà thầu,Phải nộp > Thuế nhà thầu,Thuế nhà thầu,1.015.522.032,4.291.712.575,(5.307.234.607),-,-,1015522032.0,4291712575.0,-5307234607.0,,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,1.641.832.050,670.720.037.603,(258.193.786.147),(9.796.285.359),404.371.798.147,1641832050.0,670720037603.0,-258193786147.0,-9796285359.0,404371798147.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,
Thuế thu nhập doanh nghiệp nộp thừa,Phải thu > Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,9.796.285.359,11.747.078.078,-,(9.796.285.359),11.747.078.078,9796285359.0,11747078078.0,,-9796285359.0,11747078078.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,9.796.285.359,11.747.078.078,-,(9.796.285.359),11.747.078.078,9796285359.0,11747078078.0,,-9796285359.0,11747078078.0
